target_scope,pdb_ligand_identity,canonical_event_ids,evidence_axis,pre_recovery_availability,pre_recovery_status,pre_recovery_value,failure_reason,recovery_source_root_kind,recovery_source_path,recovery_source_sha256,recovery_source_authority,recovery_method_owner,recovered_value,canonical_value_validation,used_for_component_linking
NDU4,3B9H/NDU,COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,LIGAND_GRAPH,true,AVAILABLE_CANONICAL,03868c44e61ae7c72671a929d09425d7bfe0fee600e548911bbac67dacafb17d,NONE,REPOSITORY_PARENT,covapie-state/bulk-500-controlled-execution-v1/attempt-001/incremental_processing_outcomes_v1.json,d891a267dc4493cfceda33b70ab4a200d9f806e1bff38c4b6f39b69a1a3548d7,PUBLISHED_ATTEMPT001_OUTCOMES_BOUND_BY_FORMAL_OWNER,bulk_owner.build_source_local_leakage_evidence_v1,03868c44e61ae7c72671a929d09425d7bfe0fee600e548911bbac67dacafb17d,PUBLISHED_HELPER_REPRODUCED_PRE_RECOVERY_VALUE_EXACTLY,true
NDU4,3B9H/NDU,COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,LIGAND_SCAFFOLD,true,AVAILABLE_CANONICAL,48e1bbd42818b7c0b76fc8072dfff2c57c2c5a5f725e7859198d1fcd10456969,NONE,REPOSITORY_PARENT,covapie-state/bulk-500-controlled-execution-v1/attempt-001/incremental_processing_outcomes_v1.json,d891a267dc4493cfceda33b70ab4a200d9f806e1bff38c4b6f39b69a1a3548d7,PUBLISHED_ATTEMPT001_OUTCOMES_BOUND_BY_FORMAL_OWNER,bulk_owner.build_source_local_leakage_evidence_v1,48e1bbd42818b7c0b76fc8072dfff2c57c2c5a5f725e7859198d1fcd10456969,PUBLISHED_HELPER_REPRODUCED_PRE_RECOVERY_VALUE_EXACTLY,true
NDU4,3B9H/NDU,COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,PROTEIN_ACCESSION,true,AVAILABLE_CANONICAL,P0A884,NONE,CACHE_ROOT,structures/3B9H.cif.gz,f907ac342928ec24708516f793f8306401521e6fa5a6b2d893160e65a734c31f,PUBLISHED_BRIDGE_BOUND_RCSB_MMCIF,bulk_owner.build_source_local_leakage_evidence_v1,P0A884,PUBLISHED_HELPER_REPRODUCED_PRE_RECOVERY_VALUE_EXACTLY,true
NDU4,3B9H/NDU,COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,PROTEIN_EXACT_SEQUENCE,true,AVAILABLE_CANONICAL,b527eb652d12b87156fabde8bdad091e29e6c4b6c7f31b0dfecfbcbfedc448d7,NONE,CACHE_ROOT,structures/3B9H.cif.gz,f907ac342928ec24708516f793f8306401521e6fa5a6b2d893160e65a734c31f,PUBLISHED_BRIDGE_BOUND_RCSB_MMCIF,bulk_owner.build_source_local_leakage_evidence_v1,b527eb652d12b87156fabde8bdad091e29e6c4b6c7f31b0dfecfbcbfedc448d7,PUBLISHED_HELPER_REPRODUCED_PRE_RECOVERY_VALUE_EXACTLY,true
NDU4,3B9H/NDU,COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,PROTEIN_SEQUENCE_IDENTITY_GE_0.5,false,CANONICAL_SEQUENCE_BLOCKED_BY_SINGLE_UNKNOWN_CXM,LEGACY_PROJECTED_SEQUENCE_SHA256:a5f948fbaa87e6f606476191ed84da6ff0abf71250f566ba0b1a71a120680d66,LEGACY_SOURCE_LOCAL_PROTEIN_SEQUENCE_PROJECTION_MAPPED_CXM_TO_X_AND_SET_LEAKAGE_EVIDENCE_COMPLETE_FALSE_DESPITE_SHA_BOUND_LOCAL_MMCIF_CANONICAL_M_AND_UNIPROT_SEQUENCE_AUTHORITY,CACHE_ROOT,structures/3B9H.cif.gz,f907ac342928ec24708516f793f8306401521e6fa5a6b2d893160e65a734c31f,PUBLISHED_BRIDGE_BOUND_RCSB_MMCIF,bulk_owner.leakage_evidence_owner.tokenize_mmcif+official_mmcif_entity_poly_canonical_and_struct_ref_sequence,CANONICAL_SEQUENCE_SHA256:ca530340b80f99c2e9a083fdc60f66eefcced0e6dfc0bd5cefb8d5d6453c1162,OFFICIAL_MMCIF_CANONICAL_SEQUENCE_EQUALS_LOCAL_UNIPROT_REFERENCE_AND_RESOLVES_SINGLE_CXM_TO_M,true
NDU4,3BHL/NDU,COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6|COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,LIGAND_GRAPH,true,AVAILABLE_CANONICAL,03868c44e61ae7c72671a929d09425d7bfe0fee600e548911bbac67dacafb17d,NONE,REPOSITORY_PARENT,covapie-state/bulk-500-controlled-execution-v1/attempt-001/incremental_processing_outcomes_v1.json,d891a267dc4493cfceda33b70ab4a200d9f806e1bff38c4b6f39b69a1a3548d7,PUBLISHED_ATTEMPT001_OUTCOMES_BOUND_BY_FORMAL_OWNER,bulk_owner.build_source_local_leakage_evidence_v1,03868c44e61ae7c72671a929d09425d7bfe0fee600e548911bbac67dacafb17d,PUBLISHED_HELPER_REPRODUCED_PRE_RECOVERY_VALUE_EXACTLY,true
NDU4,3BHL/NDU,COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6|COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,LIGAND_SCAFFOLD,true,AVAILABLE_CANONICAL,48e1bbd42818b7c0b76fc8072dfff2c57c2c5a5f725e7859198d1fcd10456969,NONE,REPOSITORY_PARENT,covapie-state/bulk-500-controlled-execution-v1/attempt-001/incremental_processing_outcomes_v1.json,d891a267dc4493cfceda33b70ab4a200d9f806e1bff38c4b6f39b69a1a3548d7,PUBLISHED_ATTEMPT001_OUTCOMES_BOUND_BY_FORMAL_OWNER,bulk_owner.build_source_local_leakage_evidence_v1,48e1bbd42818b7c0b76fc8072dfff2c57c2c5a5f725e7859198d1fcd10456969,PUBLISHED_HELPER_REPRODUCED_PRE_RECOVERY_VALUE_EXACTLY,true
NDU4,3BHL/NDU,COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6|COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,PROTEIN_ACCESSION,true,AVAILABLE_CANONICAL,P0A884,NONE,CACHE_ROOT,structures/3BHL.cif.gz,9fd80c44497a6737d83c6f12150cb608e933d1823ca9c58a1e8013c1ceca5b7a,PUBLISHED_BRIDGE_BOUND_RCSB_MMCIF,bulk_owner.build_source_local_leakage_evidence_v1,P0A884,PUBLISHED_HELPER_REPRODUCED_PRE_RECOVERY_VALUE_EXACTLY,true
NDU4,3BHL/NDU,COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6|COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,PROTEIN_EXACT_SEQUENCE,true,AVAILABLE_CANONICAL,b527eb652d12b87156fabde8bdad091e29e6c4b6c7f31b0dfecfbcbfedc448d7,NONE,CACHE_ROOT,structures/3BHL.cif.gz,9fd80c44497a6737d83c6f12150cb608e933d1823ca9c58a1e8013c1ceca5b7a,PUBLISHED_BRIDGE_BOUND_RCSB_MMCIF,bulk_owner.build_source_local_leakage_evidence_v1,b527eb652d12b87156fabde8bdad091e29e6c4b6c7f31b0dfecfbcbfedc448d7,PUBLISHED_HELPER_REPRODUCED_PRE_RECOVERY_VALUE_EXACTLY,true
NDU4,3BHL/NDU,COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6|COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,PROTEIN_SEQUENCE_IDENTITY_GE_0.5,false,CANONICAL_SEQUENCE_BLOCKED_BY_SINGLE_UNKNOWN_CXM,LEGACY_PROJECTED_SEQUENCE_SHA256:a5f948fbaa87e6f606476191ed84da6ff0abf71250f566ba0b1a71a120680d66,LEGACY_SOURCE_LOCAL_PROTEIN_SEQUENCE_PROJECTION_MAPPED_CXM_TO_X_AND_SET_LEAKAGE_EVIDENCE_COMPLETE_FALSE_DESPITE_SHA_BOUND_LOCAL_MMCIF_CANONICAL_M_AND_UNIPROT_SEQUENCE_AUTHORITY,CACHE_ROOT,structures/3BHL.cif.gz,9fd80c44497a6737d83c6f12150cb608e933d1823ca9c58a1e8013c1ceca5b7a,PUBLISHED_BRIDGE_BOUND_RCSB_MMCIF,bulk_owner.leakage_evidence_owner.tokenize_mmcif+official_mmcif_entity_poly_canonical_and_struct_ref_sequence,CANONICAL_SEQUENCE_SHA256:ca530340b80f99c2e9a083fdc60f66eefcced0e6dfc0bd5cefb8d5d6453c1162,OFFICIAL_MMCIF_CANONICAL_SEQUENCE_EQUALS_LOCAL_UNIPROT_REFERENCE_AND_RESOLVES_SINGLE_CXM_TO_M,true
