source_category,source_root_kind,relative_path,expected_sha256,actual_sha256,byte_count,consumed_for,sha256_verified
PUBLISHED_BRIDGE_BOUND_RCSB_MMCIF,CACHE_ROOT,structures/3B9H.cif.gz,f907ac342928ec24708516f793f8306401521e6fa5a6b2d893160e65a734c31f,f907ac342928ec24708516f793f8306401521e6fa5a6b2d893160e65a734c31f,70064,canonical protein sequence recovery for 3B9H/NDU,True
PUBLISHED_BRIDGE_BOUND_RCSB_MMCIF,CACHE_ROOT,structures/3BHL.cif.gz,9fd80c44497a6737d83c6f12150cb608e933d1823ca9c58a1e8013c1ceca5b7a,9fd80c44497a6737d83c6f12150cb608e933d1823ca9c58a1e8013c1ceca5b7a,137814,canonical protein sequence recovery for 3BHL/NDU,True
PUBLISHED_BRIDGE_BOUND_RCSB_MMCIF,CACHE_ROOT,structures/3BHR.cif.gz,b084d30d981db2fe4a630d1d4832d30a84f1b3752f994ffafa29703b9efb4c89,b084d30d981db2fe4a630d1d4832d30a84f1b3752f994ffafa29703b9efb4c89,73619,canonical protein sequence recovery for 3BHR/NDU,True
PUBLISHED_ATTEMPT001_OUTCOMES,REPOSITORY_PARENT,covapie-state/bulk-500-controlled-execution-v1/attempt-001/incremental_processing_outcomes_v1.json,d891a267dc4493cfceda33b70ab4a200d9f806e1bff38c4b6f39b69a1a3548d7,d891a267dc4493cfceda33b70ab4a200d9f806e1bff38c4b6f39b69a1a3548d7,3043911,250-event incremental lane and published target predictions,True
PUBLISHED_FORMAL_SPLIT_AUTHORITY,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_formal_split_leakage_admission_v1/covapie_batch001_formal_event_split_admission_v1.csv,d3416ed382e6f208f79f2285138893dde3bf627653606fed8a4c3c73666001c7,d3416ed382e6f208f79f2285138893dde3bf627653606fed8a4c3c73666001c7,5877,published complete batch001 13-event formal state,True
PUBLISHED_FORMAL_SPLIT_AUTHORITY,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_formal_split_leakage_admission_v1/covapie_batch001_formal_leakage_component_registry_v1.json,76e6ecae7dfde7c9e5081a0164f9a72628e4f30550e831a8f8ba5cd3d1d16544,76e6ecae7dfde7c9e5081a0164f9a72628e4f30550e831a8f8ba5cd3d1d16544,10237,published four-component closure and formal assignments,True
PUBLISHED_FORMAL_SPLIT_AUTHORITY,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_formal_split_leakage_admission_v1/covapie_batch001_formal_split_leakage_admission_manifest_v1.json,79fb2889a38016f2526adfb0f3c531a14f1bb32acc825b5c989c55217c0925dd,79fb2889a38016f2526adfb0f3c531a14f1bb32acc825b5c989c55217c0925dd,8712,published formal split manifest,True
PUBLISHED_FORMAL_SPLIT_AUTHORITY,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_formal_split_leakage_admission_v1/covapie_batch001_split_admission_source_binding_inventory_v1.csv,946d1b4cce5c4785a20cca1be557d071015b11e89311282bf4814a6c22e91fdc,946d1b4cce5c4785a20cca1be557d071015b11e89311282bf4814a6c22e91fdc,10754,published formal split source lineage,True
PUBLISHED_BATCH001_BRIDGE,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_to_existing_mixed_profile_supervision_bridge_v1/covapie_batch001_event_model_integration_readiness_v1.csv,c7a04904b83b72128ff2b1ea472333bded8c4c04bc70230114baef9265f76cbd,c7a04904b83b72128ff2b1ea472333bded8c4c04bc70230114baef9265f76cbd,3779,exact batch001 target population and read-only split provenance,True
PUBLISHED_BATCH001_BRIDGE,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_to_existing_mixed_profile_supervision_bridge_v1/covapie_batch001_model_bound_structural_evidence_v1.json,cca589fa4ac372c159b2e00ba4f59a7c794e21a10f1b3fcffbd477de42cd8f2e,cca589fa4ac372c159b2e00ba4f59a7c794e21a10f1b3fcffbd477de42cd8f2e,770233,published bridge structural evidence,True
PUBLISHED_BATCH001_BRIDGE,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_to_existing_mixed_profile_supervision_bridge_v1/covapie_batch001_model_input_source_binding_inventory_v1.csv,02bff8eca47af169264a0bbd2ac2448d9a6c2376a29ad530177fb246cbc95d53,02bff8eca47af169264a0bbd2ac2448d9a6c2376a29ad530177fb246cbc95d53,5987,published bridge source lineage,True
