source_category,source_root_kind,relative_path,sha256,consumed_for,sha256_verified
BATCH001_PUBLISHED_ARTIFACT,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_completed_decision_ingestion_and_task_label_availability_v1/covapie_batch001_completed_human_decision_snapshot_v1.json,c0c887b9026638484ae453d68a6fc654e3bd1b3bce7aa222f8a285d4878e0200,positive_population_and_human_label_authority,true
BATCH001_PUBLISHED_ARTIFACT,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_completed_decision_ingestion_and_task_label_availability_v1/covapie_batch001_event_task_label_availability_v1.csv,f8481147babbad02215c3c3f767fe22ba6a511b8a076482a9635fec5d5cf8e82,positive_population_and_human_label_authority,true
BATCH001_PUBLISHED_ARTIFACT,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_completed_decision_ingestion_and_task_label_availability_v1/covapie_batch001_task_label_availability_manifest_v1.json,435b9a03616f9c821c339a96cb21b8ac6d0964619fb1b6b260cdde1c2292ef2a,positive_population_and_human_label_authority,true
BATCH001_PUBLISHED_ARTIFACT,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_completed_decision_ingestion_and_task_label_availability_v1/covapie_batch001_task_label_availability_summary_v1.json,ffd086891fea7571faa25bec06806e21cbb944aaa1c95981fcfe370a54387c63,positive_population_and_human_label_authority,true
EXISTING_SEMANTIC_OWNER,REPOSITORY_ROOT,src/covalent_ext/covapie_bulk_cys_sg_dataset_expansion_v1.py,ef17777a634284a94662ac3277c02a7fb4efa20375d84fcf88ac074c61e69ce0,reused_model_input_and_supervision_contract,true
EXISTING_SEMANTIC_OWNER,REPOSITORY_ROOT,src/covalent_ext/covapie_current11_target_residue_atom_condition_authority_v1.py,1cf8839382bccfb595a841493a0e22c550578c02f2592dc7481ff67b078d7248,reused_model_input_and_supervision_contract,true
EXISTING_SEMANTIC_OWNER,REPOSITORY_ROOT,src/covalent_ext/covapie_current11_training_tensorizer_v1.py,9fdc3f7f101fab5e5e5452e3d8e9f9b0b1e6e5fa8254a261f36310a1dfd0b606,reused_model_input_and_supervision_contract,true
EXISTING_SEMANTIC_OWNER,REPOSITORY_ROOT,src/covalent_ext/covapie_direct_attachment_optional_linker_runtime_v1.py,434285a43fa0158e62d40f48ed95d137f5fd68ea9b00101cc20674025849c535,reused_model_input_and_supervision_contract,true
EXISTING_SEMANTIC_OWNER,REPOSITORY_ROOT,src/covalent_ext/covapie_exact16_post_geometry_partial_supervision_authority_v1.py,6f388b42bd58ffed67ed752a9fec9f85e57050fc96a89e6f3d3e90b1281dba44,reused_model_input_and_supervision_contract,true
EXISTING_SEMANTIC_OWNER,REPOSITORY_ROOT,src/covalent_ext/covapie_expanded_cys_sg_mixed_profile_tensorizer_v1.py,c95bac177ba2ef1dd519bb5659cb97a8367484b1e41553be56fe3b2789ceb932,reused_model_input_and_supervision_contract,true
EXISTING_SEMANTIC_OWNER,REPOSITORY_ROOT,src/covalent_ext/covapie_tensor_label_and_loss_mask_contract_design_v1.py,3d2d03cda56dfb4a54370444f255f9bb0ab433aaeb837901e769098272ff51ac,reused_model_input_and_supervision_contract,true
EXISTING_SEMANTIC_OWNER,REPOSITORY_ROOT,src/covalent_ext/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1.py,1d80862e7c4fa3215ac3f307a45ce3bc8f1e0d4613728133a0ea3118df2df241,reused_model_input_and_supervision_contract,true
CANONICAL_CACHE_MANIFEST,CACHE_PARENT_ROOT,cache_manifest_v1.json,10057a8fd7e34c5e63a912a44f242926247aef15cffefa942dceb910d3f1cd58,external_payload_integrity_authority,true
RCSB_MMCIF_PAYLOAD,STRUCTURAL_SOURCE_ROOT,structures/2ZK1.cif.gz,fba751c18098dad5cbae2fefba243143cd32771841865285437d328e94960da2,event_specific_full_atom_and_6A_pocket_projection,true
RCSB_MMCIF_PAYLOAD,STRUCTURAL_SOURCE_ROOT,structures/2ZK2.cif.gz,06e3a765c028122a61dfa30244b3e5fd3f5cb9c455a294550228f7a0521b1f15,event_specific_full_atom_and_6A_pocket_projection,true
RCSB_MMCIF_PAYLOAD,STRUCTURAL_SOURCE_ROOT,structures/3B9H.cif.gz,f907ac342928ec24708516f793f8306401521e6fa5a6b2d893160e65a734c31f,event_specific_full_atom_and_6A_pocket_projection,true
RCSB_MMCIF_PAYLOAD,STRUCTURAL_SOURCE_ROOT,structures/3BHL.cif.gz,9fd80c44497a6737d83c6f12150cb608e933d1823ca9c58a1e8013c1ceca5b7a,event_specific_full_atom_and_6A_pocket_projection,true
RCSB_MMCIF_PAYLOAD,STRUCTURAL_SOURCE_ROOT,structures/3BHR.cif.gz,b084d30d981db2fe4a630d1d4832d30a84f1b3752f994ffafa29703b9efb4c89,event_specific_full_atom_and_6A_pocket_projection,true
RCSB_MMCIF_PAYLOAD,STRUCTURAL_SOURCE_ROOT,structures/3I4A.cif.gz,bfc2a97413c135447cb2294dee561048b4aa5441b422c1583d309643c2c6ae71,event_specific_full_atom_and_6A_pocket_projection,true
RCSB_MMCIF_PAYLOAD,STRUCTURAL_SOURCE_ROOT,structures/3LOK.cif.gz,d28b889493477bc824ed6eeaf05958a85bad492c509b9fe79e07d7bebb763f52,event_specific_full_atom_and_6A_pocket_projection,true
RCSB_MMCIF_PAYLOAD,STRUCTURAL_SOURCE_ROOT,structures/3O6T.cif.gz,764bebdae7492f5645a6cf117a55c087cd885e863de30344ae81b9a52175a4e7,event_specific_full_atom_and_6A_pocket_projection,true
WWPDB_CCD_PAYLOAD,STRUCTURAL_SOURCE_ROOT,ccd/DJK.cif,b46763d6287b3f02e720e166ac9ba06c3ebb5ad0573274b9138356603aa71bfe,explicit_component_graph_and_direct_boundary,true
WWPDB_CCD_PAYLOAD,STRUCTURAL_SOURCE_ROOT,ccd/LN5.cif,f37a8aa4ec3128a7668126bfad1e087637d385674ee2cc4698b1631dac9695bf,explicit_component_graph_and_direct_boundary,true
WWPDB_CCD_PAYLOAD,STRUCTURAL_SOURCE_ROOT,ccd/NDU.cif,2f691a07ffddc265de12a6ff2d689b9592a6637cfc6672436be6db601d5c2ddd,explicit_component_graph_and_direct_boundary,true
WWPDB_CCD_PAYLOAD,STRUCTURAL_SOURCE_ROOT,ccd/PTG.cif,cb1d577730f62137976eb2dfb9c55294130ed018fad8b9e881a6a92b4199a948,explicit_component_graph_and_direct_boundary,true
WWPDB_CCD_PAYLOAD,STRUCTURAL_SOURCE_ROOT,ccd/PX5.cif,eb4d1362b2bb2b58d28ffec0168cd66bceb81555beb8fb459bf8c287ad62ee94,explicit_component_graph_and_direct_boundary,true
READ_ONLY_SPLIT_LEAKAGE_EVIDENCE,REPOSITORY_PARENT_ROOT,covapie-state/bulk-500-controlled-execution-v1/attempt-001/incremental_processing_outcomes_v1.json,d891a267dc4493cfceda33b70ab4a200d9f806e1bff38c4b6f39b69a1a3548d7,post_distance_reconciliation_and_non_authoritative_split_prediction,true
