planned_step,planned_action,allowed_inputs,allowed_outputs,blocked_outputs,required_preconditions,plan_passed
raw_file_content_read,ready_next_after_design_gate,allowlist_qa_gate;raw_file_path_contract,raw_content_read_in_future_smoke_only,training;sample_index;final_dataset,Step13BD design gate passed,True
mmcif_parse,future_smoke_operations,raw_file_content,parsed_mmcif_metadata_for_smoke,training,raw_file_content_read,True
atom_site_scan,future_smoke_operations,parsed_mmcif,atom_site_lookup_results,training,mmcif_parse,True
struct_conn_scan,future_smoke_operations,parsed_mmcif,struct_conn_lookup_results,training,mmcif_parse,True
residue_atom_lookup,future_smoke_operations,atom_site_rows,residue_atom_found_status,training,atom_site_scan,True
ligand_atom_lookup,future_smoke_operations,atom_site_rows,ligand_atom_found_status,training,atom_site_scan,True
covalent_connection_validation,future_smoke_operations,struct_conn_rows,covalent_connection_found_status,training,struct_conn_scan,True
coordinate_extraction,future_smoke_operations,atom_lookup_results,coordinate_fields,training,residue_and_ligand_atoms_found,True
extracted_event_table_write,future_smoke_operations,extraction_results,covapie_extracted_event_table.csv,sample_index;final_dataset;training,coordinate_extraction,True
extracted_atom_tables_write,future_smoke_operations,atom_site_lookup_results,future_atom_tables,sample_index;final_dataset;training,coordinate_extraction,True
extraction_qa_gate,qa_after_smoke,extraction_smoke_outputs,qa_artifacts,training,extraction_smoke_passed,True
sample_index_design_gate,blocked_until_extraction_qa,extraction_qa_outputs,future_sample_index_design,training,extraction_qa_passed,True
training,blocked,none_current_step,none,forward;loss;backward;optimizer;trainer.fit,feature_semantics_audit;leakage_split_design;dataset_gates,True
