boundary_item,current_step_status,allowed_next_smoke_status,forbidden_current_step,training_boundary_note,design_contract_passed
batch_scale_design_only,executed_design_only,design_contract_allows_future_smoke,not_forbidden_current_step,not_training_ready,True
raw_data_read,not_executed_or_not_allowed,allowed_next_smoke_only_with_explicit_small_batch_path_allowlist,True,not_training_ready,True
raw_file_copy,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
sdf_read,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
sdf_write,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
pdb_read,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
pdb_write,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
mmcif_read,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
gzip_open,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
rdkit_use,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
biopdb_use,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
gemmi_use,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
atom_site_scan,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
candidate_materialization,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
sample_index_write,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
final_dataset_write,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
adapter_instantiation,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
torch_import,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
tensor_creation,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
checkpoint_load,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
model_forward,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
loss_compute,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
trainer_fit,not_executed_or_not_allowed,requires_future_gate_or_explicit_smoke_boundary,True,not_training_ready,True
training_claim,not_executed_or_not_allowed,not_allowed_next_smoke,True,training_forbidden_current_and_next_smoke,True
