feature_semantics_item,feature_group,current_status,audit_required_before_training,fully_audited_claimed,blocking_for_batch_scale_design_gate,blocking_for_batch_scale_smoke,training_ready,recommended_audit_step,design_contract_passed
protein_atom_feature_semantics,protein,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
ligand_atom_feature_semantics,ligand,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
residue_feature_semantics,protein,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
covalent_endpoint_atom_semantics,covalent_endpoint,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
warhead_linker_scaffold_group_semantics,mask_groups,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
canonical_mask_task_semantics,mask_tasks,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
pre_post_covalent_geometry_semantics,geometry,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
warhead_type_label_semantics,auxiliary_labels,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
ligand_residue_atom_pair_label_semantics,auxiliary_labels,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
coordinate_frame_and_units_semantics,coordinates,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
unknown_atom_feature_policy,features,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
checkpoint_feature_compatibility,checkpoint,audit_required_not_fully_audited,True,False,False,False,False,covapie_feature_semantics_audit_gate_before_training,True
