provenance_field,required_for_batch_smoke,current_step_value_policy,future_smoke_value_policy,privacy_or_git_policy,design_contract_passed
source_dataset_name,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
source_dataset_version,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
source_file_path,True,design_only_not_materialized,record_relative_path_only_do_not_track_raw,do_not_track_raw_or_sensitive_large_files,True
source_file_checksum_placeholder,True,design_only_not_materialized,record_value_from_allowed_source,checksum_placeholder_not_computed_current_step,True
pdb_id,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
ligand_id,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
chain_id,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
residue_name,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
residue_index,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
residue_atom_name,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
covalent_bond_atom_pair,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
extraction_step_id,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
restoration_policy_id,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
manual_review_status,True,design_only_not_materialized,record_value_from_allowed_source,do_not_track_raw_or_sensitive_large_files,True
