stage,previous_stage,section,status,evidence,blocking_reasons,recommended_next_step
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,step13ae_precondition,passed,"{""rows"": 6}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,allowlist_discovery,passed,"{""rows"": 1, ""smoke_status"": ""blocked_due_to_missing_allowlist""}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,allowlist_schema,passed,"{""rows"": 15}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,candidate_selection,passed,"{""rows"": 12}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,shard_plan,passed,"{""rows"": 1}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,provenance,passed,"{""rows"": 14}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,failure,passed,"{""rows"": 1}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,execution_boundary,passed,"{""rows"": 24}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,git_safety,passed,"{""rows"": 10}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,mask_scope,passed,"{""rows"": 5}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,feature_semantics,passed,"{""rows"": 12}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,leakage_split,passed,"{""rows"": 12}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
covapie_batch_scale_data_preparation_smoke_v0,covapie_batch_scale_data_preparation_design_gate_v0,readiness_boundary,passed,"{""recommended_next_step"": ""covapie_candidate_allowlist_creation_gate""}",missing_explicit_candidate_allowlist,covapie_candidate_allowlist_creation_gate
