scaleup_rank,tranche,selection_priority_pass,canonical_event_id,pdb_id,protein_label_asym_id,protein_auth_chain,protein_residue_name,protein_residue_number,protein_reactive_atom,ligand_component_id,ligand_instance,ligand_reactive_atom,canonical_source_dataset_count,source_record_provenance_count,source_datasets_json,source_provenance_identities_json,historical_pilot_processed,historical_bulk_structure_acquisition_status,historical_terminal_route,historical_terminal_reasons_json,current_123_two_rule_routing_population_overlap,structure_execution_status,task_domain_rule_evaluation_status
1,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1ATK:A:CYS:25-:SG:B:E64:C2,1ATK,A,,CYS,25,SG,E64,B,C2,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1atk/1atk.pdb#LINK00310"",""SOURCE_RCSB_PDB_DIRECT:1ATK:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
2,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1AU0:A:CYS:25-:SG:B:SDK:C21,1AU0,A,,CYS,25,SG,SDK,B,C21,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002961"",""SOURCE_RCSB_PDB_DIRECT:1AU0:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
3,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1AU2:A:CYS:25-:SG:B:POS:C19,1AU2,A,,CYS,25,SG,POS,B,C19,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002948"",""SOURCE_RCSB_PDB_DIRECT:1AU2:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
4,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1BGO:A:CYS:25-:SG:B:I10:C31,1BGO,A,,CYS,25,SG,I10,B,C31,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001513"",""SOURCE_COVPDB:CovPDB_complexes/1bgo/1bgo.pdb#LINK00339"",""SOURCE_RCSB_PDB_DIRECT:1BGO:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
5,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1BJG:A:CYS:146-:SG:B:UFP:C6,1BJG,A,,CYS,146,SG,UFP,B,C6,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1bjg/1bjg.pdb#LINK00478"",""SOURCE_RCSB_PDB_DIRECT:1BJG:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
6,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1BMQ:A:CYS:285-:SG:C:MNO:C27,1BMQ,A,,CYS,285,SG,MNO,C,C27,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001955"",""SOURCE_COVPDB:CovPDB_complexes/1bmq/1bmq.pdb#LINK00378"",""SOURCE_RCSB_PDB_DIRECT:1BMQ:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
7,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1BQ1:A:CYS:146-:SG:C:UMP:C6,1BQ1,A,,CYS,146,SG,UMP,C,C6,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004306"",""SOURCE_RCSB_PDB_DIRECT:1BQ1:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
8,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1BQ1:B:CYS:146-:SG:E:UMP:C6,1BQ1,B,,CYS,146,SG,UMP,E,C6,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004307"",""SOURCE_RCSB_PDB_DIRECT:1BQ1:covale4""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
9,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1BWC:A:CYS:58-:SG:D:AJ3:S5,1BWC,A,,CYS,58,SG,AJ3,D,S5,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001748"",""SOURCE_COVPDB:CovPDB_complexes/1bwc/1bwc.pdb#LINK00484"",""SOURCE_RCSB_PDB_DIRECT:1BWC:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
10,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CQQ:A:CYS:147-:SG:B:AG7:C19,1CQQ,A,,CYS,147,SG,AG7,B,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003237"",""SOURCE_COVPDB:CovPDB_complexes/1cqq/1cqq.pdb#LINK00366"",""SOURCE_RCSB_PDB_DIRECT:1CQQ:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
