scaleup_rank,canonical_event_id,selection_priority_pass,pdb_id,protein_label_asym_id,protein_auth_chain,protein_residue_name,protein_residue_number,protein_reactive_atom,ligand_component_id,ligand_instance,ligand_reactive_atom,source_dataset_count,source_record_count,source_datasets_json,source_record_ids_json
501,COVAPIE_CYS_SG_EVENT_V1:3ORX:C:CYS:148-:SG:M:1F8:SD,MULTI_SOURCE_PROVENANCE,3ORX,C,,CYS,148,SG,1F8,M,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orx/3orx.pdb#LINK01470"",""SOURCE_RCSB_PDB_DIRECT:3ORX:covale7""]"
502,COVAPIE_CYS_SG_EVENT_V1:3ORX:D:CYS:148-:SG:O:1F8:SD,MULTI_SOURCE_PROVENANCE,3ORX,D,,CYS,148,SG,1F8,O,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orx/3orx.pdb#LINK01471"",""SOURCE_RCSB_PDB_DIRECT:3ORX:covale10""]"
503,COVAPIE_CYS_SG_EVENT_V1:3ORX:E:CYS:148-:SG:Q:1F8:SD,MULTI_SOURCE_PROVENANCE,3ORX,E,,CYS,148,SG,1F8,Q,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orx/3orx.pdb#LINK01472"",""SOURCE_RCSB_PDB_DIRECT:3ORX:covale13""]"
504,COVAPIE_CYS_SG_EVENT_V1:3ORX:F:CYS:148-:SG:R:1F8:SD,MULTI_SOURCE_PROVENANCE,3ORX,F,,CYS,148,SG,1F8,R,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orx/3orx.pdb#LINK01473"",""SOURCE_RCSB_PDB_DIRECT:3ORX:covale14""]"
505,COVAPIE_CYS_SG_EVENT_V1:3ORX:G:CYS:148-:SG:S:1F8:SD,MULTI_SOURCE_PROVENANCE,3ORX,G,,CYS,148,SG,1F8,S,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orx/3orx.pdb#LINK01474"",""SOURCE_RCSB_PDB_DIRECT:3ORX:covale16""]"
506,COVAPIE_CYS_SG_EVENT_V1:3ORX:H:CYS:148-:SG:T:1F8:SD,MULTI_SOURCE_PROVENANCE,3ORX,H,,CYS,148,SG,1F8,T,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orx/3orx.pdb#LINK01475"",""SOURCE_RCSB_PDB_DIRECT:3ORX:covale18""]"
507,COVAPIE_CYS_SG_EVENT_V1:3ORZ:A:CYS:148-:SG:E:2A2:SD,MULTI_SOURCE_PROVENANCE,3ORZ,A,,CYS,148,SG,2A2,E,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orz/3orz.pdb#LINK00848"",""SOURCE_RCSB_PDB_DIRECT:3ORZ:covale1""]"
508,COVAPIE_CYS_SG_EVENT_V1:3ORZ:B:CYS:148-:SG:G:2A2:SD,MULTI_SOURCE_PROVENANCE,3ORZ,B,,CYS,148,SG,2A2,G,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orz/3orz.pdb#LINK00849"",""SOURCE_RCSB_PDB_DIRECT:3ORZ:covale3""]"
509,COVAPIE_CYS_SG_EVENT_V1:3ORZ:C:CYS:148-:SG:I:2A2:SD,MULTI_SOURCE_PROVENANCE,3ORZ,C,,CYS,148,SG,2A2,I,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orz/3orz.pdb#LINK00850"",""SOURCE_RCSB_PDB_DIRECT:3ORZ:covale6""]"
510,COVAPIE_CYS_SG_EVENT_V1:3ORZ:D:CYS:148-:SG:K:2A2:SD,MULTI_SOURCE_PROVENANCE,3ORZ,D,,CYS,148,SG,2A2,K,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3orz/3orz.pdb#LINK00851"",""SOURCE_RCSB_PDB_DIRECT:3ORZ:covale8""]"
