mapping_order,admission_rule_id,rule_reason_order,legacy_blocking_reason,unified_outcome,unified_passed,unified_blocks_candidate,legacy_reason_reachable_after_context_prevalidation,context_prevalidation_disposition,mapping_contract_passed
1,ADMIT_001,1,,passed,true,false,true,not_intercepted,true
2,ADMIT_001,2,candidate_record_id_not_exact_str,invalid,false,true,true,not_intercepted,true
3,ADMIT_001,3,candidate_record_id_empty,invalid,false,true,true,not_intercepted,true
4,ADMIT_001,4,candidate_record_id_non_ascii,invalid,false,true,true,not_intercepted,true
5,ADMIT_001,5,candidate_record_id_length_out_of_range,invalid,false,true,true,not_intercepted,true
6,ADMIT_001,6,candidate_record_id_pattern_invalid,invalid,false,true,true,not_intercepted,true
7,ADMIT_001,7,candidate_record_id_missing_from_batch,blocked,false,true,true,not_intercepted,true
8,ADMIT_001,8,candidate_record_id_repeated_in_batch,blocked,false,true,true,not_intercepted,true
9,ADMIT_001,9,batch_candidate_record_ids_not_globally_unique,blocked,false,true,true,not_intercepted,true
10,ADMIT_002,1,,passed,true,false,true,not_intercepted,true
11,ADMIT_002,2,pdb_id_missing,invalid,false,true,true,not_intercepted,true
12,ADMIT_002,3,pdb_id_not_string,invalid,false,true,true,not_intercepted,true
13,ADMIT_002,4,pdb_id_empty,invalid,false,true,true,not_intercepted,true
14,ADMIT_002,5,pdb_id_surrounding_whitespace_forbidden,invalid,false,true,true,not_intercepted,true
15,ADMIT_002,6,pdb_id_non_ascii_forbidden,invalid,false,true,true,not_intercepted,true
16,ADMIT_002,7,pdb_id_format_invalid,invalid,false,true,true,not_intercepted,true
17,ADMIT_002,8,pdb_id_length_invalid,invalid,false,true,true,not_intercepted,true
18,ADMIT_003,1,,passed,true,false,true,not_intercepted,true
19,ADMIT_003,2,LIGAND_COMP_ID_TYPE_INVALID,invalid,false,true,true,not_intercepted,true
20,ADMIT_003,3,LIGAND_COMP_ID_EMPTY,invalid,false,true,true,not_intercepted,true
21,ADMIT_003,4,LIGAND_COMP_ID_NON_ASCII,invalid,false,true,true,not_intercepted,true
22,ADMIT_003,5,LIGAND_COMP_ID_LENGTH_INVALID,invalid,false,true,true,not_intercepted,true
23,ADMIT_003,6,LIGAND_COMP_ID_SYNTAX_INVALID,invalid,false,true,true,not_intercepted,true
