safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
historical_conflict_validation,true,true,true
generic_atom_design,true,true,true
admit_004_admit_005_scope_design,true,true,true
evidence_context_schema_design,true,true,true
candidate_attestation_binding_design,true,true,true
truth_matrix_classification,true,true,true
issue_transition_design,true,true,true
raw_read,false,false,true
provenance_reference_dereference,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
evaluator_implementation,false,false,true
unified_rule_engine_integration,false,false,true
candidate_record_materialization,false,false,true
candidate_evaluation,false,false,true
admission_record_modification,false,false,true
sample_backfill,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
