case_id,case_group,behavior,expected_dispatch_code,expected_reason,source_exact10_json,oracle_exact10_json,unified_exact13_json,formal_call_count,scope_oracle_call_count,atom_oracle_call_count,case_passed
A_NON_MAPPING,candidate_envelope,non-Mapping becomes unified invalid,,ADMIT_005_CANDIDATE_RECORD_MAPPING_INVALID,,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",0,0,0,true
A_MISSING_RESIDUE,candidate_envelope,missing residue wins,,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name,,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",0,0,0,true
A_MISSING_ATOM,candidate_envelope,missing atom after residue,,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_atom_name,,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_atom_name"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",0,0,0,true
A_EXTRA_FIELDS,candidate_envelope,extra fields ignored,,,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
A_MAPPING_SUBCLASS,candidate_envelope,Mapping subclass accepted,,,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
A_NOT_MUTATED,candidate_envelope,candidate not mutated,,,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""SER"",""canonical_residue_atom_name"":""CA"",""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""SER"",""canonical_residue_atom_name"":""CA"",""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""normalized_values"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""CA""]],""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
A_SCALAR_IDENTITY,candidate_envelope,scalar object identity preserved,,,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
B_BATCH,context_routing,batch non-None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_BATCH_CONTEXT_MUST_BE_NONE,,,,0,0,0,true
B_EVALUATION,context_routing,evaluation non-None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_EVALUATION_CONTEXT_MUST_BE_NONE,,,,0,0,0,true
B_DOWNLOAD,context_routing,download non-None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,,,,0,0,0,true
