occurrence_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,matched_term,field_role,rule_scope,semantic_statement,contains_concrete_value,concrete_value,authoritative_for_runtime_semantics,occurrence_passed
1,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:81,covalent_event_evidence_source,candidate_scalar,,historical value contract only; not an enum member,false,,false,true
2,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:103,ADMIT_006,rule_or_blocker_declaration,ADMIT_006,ADMIT_006 required-status or blocking-reason declaration,false,,false,true
3,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:103,explicit_covalent_event_evidence,rule_or_blocker_declaration,ADMIT_006,ADMIT_006 required-status or blocking-reason declaration,false,,false,true
4,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:103,explicit_evidence_source_present,rule_or_blocker_declaration,ADMIT_006,ADMIT_006 required-status or blocking-reason declaration,false,,false,true
5,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:103,covalent_event_evidence_missing,rule_or_blocker_declaration,ADMIT_006,ADMIT_006 required-status or blocking-reason declaration,false,,false,true
6,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:104,ADMIT_007,rule_or_blocker_declaration,ADMIT_007,ADMIT_007 rule or blocking-reason declaration,false,,false,true
7,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:104,distance_only_inference_forbidden,rule_or_blocker_declaration,ADMIT_007,ADMIT_007 rule or blocking-reason declaration,false,,false,true
8,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:104,distance_only_inference_not_admissible,rule_or_blocker_declaration,ADMIT_007,ADMIT_007 rule or blocking-reason declaration,false,,false,true
9,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:116,distance_only_inference_forbidden,rule_or_blocker_declaration,,ADMIT_007 rule or blocking-reason declaration,false,,false,true
10,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,source_code,line:116,distance_only_inference_not_admissible,rule_or_blocker_declaration,,ADMIT_007 rule or blocking-reason declaration,false,,false,true
11,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,contract,admission_field_name=covalent_event_evidence_source,covalent_event_evidence_source,candidate_scalar,,historical value contract only; not an enum member,false,,true,true
12,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,contract,admission_rule_id=ADMIT_006,ADMIT_006,rule_or_blocker_declaration,ADMIT_006,ADMIT_006 required-status or blocking-reason declaration,false,,true,true
13,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,contract,admission_rule_id=ADMIT_006,explicit_covalent_event_evidence,rule_or_blocker_declaration,ADMIT_006,ADMIT_006 required-status or blocking-reason declaration,false,,true,true
14,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,contract,admission_rule_id=ADMIT_006,explicit_evidence_source_present,rule_or_blocker_declaration,ADMIT_006,ADMIT_006 required-status or blocking-reason declaration,false,,true,true
15,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,contract,admission_rule_id=ADMIT_006,covalent_event_evidence_missing,rule_or_blocker_declaration,ADMIT_006,ADMIT_006 required-status or blocking-reason declaration,false,,true,true
16,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,contract,admission_rule_id=ADMIT_007,ADMIT_007,rule_or_blocker_declaration,ADMIT_007,ADMIT_007 rule or blocking-reason declaration,false,,true,true
17,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,contract,admission_rule_id=ADMIT_007,distance_only_inference_forbidden,rule_or_blocker_declaration,ADMIT_007,ADMIT_007 rule or blocking-reason declaration,false,,true,true
18,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,contract,admission_rule_id=ADMIT_007,distance_only_inference_not_admissible,rule_or_blocker_declaration,ADMIT_007,ADMIT_007 rule or blocking-reason declaration,false,,true,true
19,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:70,covalent_event_evidence_source,candidate_scalar,,candidate field or provider-scope declaration without concrete value,false,,false,true
20,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:87,ADMIT_006,rule_or_blocker_declaration,ADMIT_006,rule coverage or registration declaration,false,,false,true
21,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:87,explicit_covalent_event_evidence,rule_or_blocker_declaration,ADMIT_006,rule coverage or registration declaration,false,,false,true
22,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:88,ADMIT_007,rule_or_blocker_declaration,ADMIT_007,ADMIT_007 rule or blocking-reason declaration,false,,false,true
23,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:88,distance_only_inference_forbidden,rule_or_blocker_declaration,ADMIT_007,ADMIT_007 rule or blocking-reason declaration,false,,false,true
24,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:220,ADMIT_006,context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,false,true
25,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:220,ADMIT_007,context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,false,true
26,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:220,COVALENT_EVIDENCE_ENUM_UNRESOLVED,context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,false,true
