matrix_order,matrix_group,case_id,condition,expected_behavior,expected_reason,expected_result_json,formal_call_count,oracle_call_count,candidate_access_status,case_passed
1,context,batch_non_none,batch_context is object,dispatch_error,ADMIT_006_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_006"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_006_BATCH_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
2,context,evaluation_non_mapping,evaluation_context is list,dispatch_error,ADMIT_006_EVALUATION_CONTEXT_MAPPING_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_006"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_006_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",0,0,not_accessed,true
3,context,evaluation_key_missing,evaluation Mapping lacks required key,dispatch_error,ADMIT_006_ALLOWED_COVALENT_EVIDENCE_CLASSES_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_006"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_006_ALLOWED_COVALENT_EVIDENCE_CLASSES_REQUIRED""}",0,0,not_accessed,true
4,context,download_non_none,download_result_context is object,dispatch_error,ADMIT_006_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_006"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_006_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
5,context,stage_non_none,stage_authorization_context is object,dispatch_error,ADMIT_006_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_006"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_006_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
6,context,multiple_failure_precedence,batch and later contexts invalid,first_dispatch_error_only,ADMIT_006_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_006"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_006_BATCH_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
7,context,evaluation_mapping_subclass,Mapping subclass with required key,accepted_without_copy,,,1,1,accessed_after_context,true
8,context,evaluation_extra_keys,extra evaluation keys,ignored,,,1,1,accessed_after_context,true
9,context,evaluation_not_mutated,mutable Mapping sentinel,not_mutated,,,1,1,accessed_after_context,true
10,context,context_value_identity,required value identity sentinel,same_object_passed,,,1,1,accessed_after_context,true
11,context,invalid_value_reaches_standalone,required value is list,exact13_invalid_not_dispatch,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_006"",""admission_rule_name"":""explicit_covalent_event_evidence"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID"",""normalized_values"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_006_unified_adapter_v1""}",1,1,accessed_after_context,true
12,candidate,candidate_non_mapping,candidate_record is list,exact13_invalid,ADMIT_006_CANDIDATE_RECORD_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_006"",""admission_rule_name"":""explicit_covalent_event_evidence"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_006_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_006_unified_adapter_v1""}",0,0,envelope_checked,true
13,candidate,candidate_key_missing,required key absent,exact13_invalid,covalent_event_evidence_missing,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_006"",""admission_rule_name"":""explicit_covalent_event_evidence"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""covalent_event_evidence_missing"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_006_unified_adapter_v1""}",0,0,presence_only,true
14,candidate,candidate_exact_none,required value is exact None,exact13_invalid,covalent_event_evidence_missing,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_006"",""admission_rule_name"":""explicit_covalent_event_evidence"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""covalent_event_evidence_missing"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_006_unified_adapter_v1""}",0,0,value_read_once,true
15,candidate,candidate_builtin_empty,required value exact built-in empty str,exact13_invalid,covalent_event_evidence_missing,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_006"",""admission_rule_name"":""explicit_covalent_event_evidence"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""covalent_event_evidence_missing"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_006_unified_adapter_v1""}",0,0,value_read_once,true
16,candidate,empty_str_subclass,required value empty str subclass,routed_to_standalone_invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,,1,1,value_read_once,true
17,candidate,whitespace_not_missing,required value whitespace-only,routed_to_standalone_invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,1,1,value_read_once,true
18,candidate,malformed_not_missing,required value integer,routed_to_standalone_invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,,1,1,value_read_once,true
19,candidate,distance_not_missing,required value distance_only_inference,routed_to_standalone_blocked,COVALENT_EVENT_EVIDENCE_NOT_EXPLICIT,,1,1,value_read_once,true
20,candidate,candidate_mapping_subclass,candidate Mapping subclass,accepted_without_copy,,,1,1,value_read_once,true
21,candidate,candidate_extra_fields,extra candidate fields,ignored,,,1,1,value_read_once,true
22,candidate,candidate_not_mutated,mutable candidate sentinel,not_mutated,,,1,1,value_read_once,true
23,candidate,scalar_identity,scalar object identity sentinel,same_object_passed,,,1,1,value_read_once,true
