contract_id,contract_kind,contract_subject,contract_value,contract_status
API_001,public_api,signature,"evaluate_admit_009(duplicate_identity_key, batch_duplicate_identity_keys, duplicate_identity_key_contract)",frozen
API_002,public_api,inputs,three_required_positional_or_keyword_direct_objects,frozen
API_003,public_api,execution,pure_in_memory_deterministic_no_input_mutation,frozen
RESULT_001,result_contract,type,exact_frozen_dataclass_no_subclasses,frozen
RESULT_002,result_contract,field_count,10,frozen
RESULT_003,result_contract,field_order,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_duplicate_identity_key|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used,frozen
RESULT_004,result_contract,exact_types,exact_str_bool_tuple_and_string_pairs,frozen
RESULT_005,result_contract,outcomes,passed|blocked|invalid,frozen
RESULT_006,result_contract,passed,true_iff_outcome_passed,frozen
RESULT_007,result_contract,blocks_candidate,true_iff_outcome_not_passed,frozen
RESULT_008,result_contract,reason,passed_empty_nonpassed_frozen_reason,frozen
RESULT_009,result_contract,scalar_invalid,empty_canonical_empty_validated_empty_context,frozen
RESULT_010,result_contract,policy_invalid,canonical_pair_policy_context,frozen
RESULT_011,result_contract,batch_invalid,canonical_pair_full_context,frozen
RESULT_012,result_contract,passed_blocked,canonical_pair_full_context,frozen
RESULT_013,result_contract,consumed_candidate,duplicate_identity_key,frozen
RESULT_014,result_contract,evaluator_io_used,exact_false,frozen
KEY_001,scalar_semantics,type,exact_builtin_str,frozen
KEY_002,scalar_semantics,regex,^covapie_dup_v1_sha256_[0-9a-f]{64}$,frozen
KEY_003,scalar_semantics,precedence,type|nonempty|ascii|regex_fullmatch,frozen
KEY_004,scalar_semantics,canonical,input_exactly_unchanged,frozen
KEY_005,scalar_semantics,normalization,none,frozen
KEY_006,scalar_semantics,composition,opaque_producer_owned_zero_visible_components,frozen
POLICY_001,policy_semantics,type,exact_builtin_str,frozen
POLICY_002,policy_semantics,value,covapie_duplicate_identity_key_contract_v1,frozen
POLICY_003,policy_semantics,normalization,none,frozen
BATCH_001,batch_semantics,type,exact_builtin_tuple_empty_allowed,frozen
BATCH_002,batch_semantics,members,exact_builtin_str_full_scalar_valid,frozen
BATCH_003,batch_semantics,order,strict_original_string_ascending,frozen
BATCH_004,batch_semantics,uniqueness,required,frozen
BATCH_005,batch_semantics,repair,no_sort_no_deduplicate_no_normalization,frozen
BATCH_006,batch_semantics,snapshot,earlier_candidates_current_record_excluded_by_caller,frozen
PRECEDENCE_001,rule_semantics,validation,scalar|policy|batch|exact_membership,frozen
PRECEDENCE_002,rule_semantics,short_circuit_context,none|policy_only|policy_and_batch,frozen
MEMBERSHIP_001,rule_semantics,comparison,exact_case_sensitive_python_string_equality,frozen
MEMBERSHIP_002,rule_semantics,unique,passed_empty_reason,frozen
MEMBERSHIP_003,rule_semantics,duplicate,DUPLICATE_IDENTITY_KEY_ALREADY_PRESENT,frozen
REASON_001,rule_semantics,historical_lowercase,duplicate_identity_unresolved_not_used,frozen
ORACLE_001,oracle_contract,production,does_not_import_or_call_design_oracle,frozen
ORACLE_002,oracle_contract,attestation,checker_compares_all_exact10_fields,frozen
ORACLE_003,oracle_contract,truth,committed_exact32_full_equivalence,frozen
PROVIDER_001,provider_boundary,mapping,unvalidated_zero_real_keys,frozen
PROVIDER_002,provider_boundary,fields,candidate_group_leakage_fields_not_parsed,frozen
BOUNDARY_001,authorization_boundary,runtime,no_adapter_no_registration_no_exact9,frozen
BOUNDARY_002,authorization_boundary,later_rules,no_admit010_no_all_rules_no_combined_verdict,frozen
BOUNDARY_003,authorization_boundary,operations,no_raw_network_download_checkpoint_model_training,frozen
