source_order,source_relative_path,expected_sha256,base_tree_sha256,filesystem_sha256,tracked,base_tree_blob,filesystem_regular,non_symlink,safe_descendant,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit.py,229945a3edad28ee7770172cb931e05ac463db56b0dd1abe57a8053bb4d7e5b1,229945a3edad28ee7770172cb931e05ac463db56b0dd1abe57a8053bb4d7e5b1,229945a3edad28ee7770172cb931e05ac463db56b0dd1abe57a8053bb4d7e5b1,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_preconditions_manifest.json,29df6cdf3b1eb7c1a690610d9fad88055797caba58f27f01f0b7da0d488d4c43,29df6cdf3b1eb7c1a690610d9fad88055797caba58f27f01f0b7da0d488d4c43,29df6cdf3b1eb7c1a690610d9fad88055797caba58f27f01f0b7da0d488d4c43,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_precondition_matrix.csv,eaa26be3e624f9c07f2e5f69313f9258b4f6dc33f470b7bf4422da1a5c998a2c,eaa26be3e624f9c07f2e5f69313f9258b4f6dc33f470b7bf4422da1a5c998a2c,eaa26be3e624f9c07f2e5f69313f9258b4f6dc33f470b7bf4422da1a5c998a2c,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_field_occurrence_inventory.csv,e494e55bdf147985a03d936458577948099b61bd77e220b86a045f4f9337240b,e494e55bdf147985a03d936458577948099b61bd77e220b86a045f4f9337240b,e494e55bdf147985a03d936458577948099b61bd77e220b86a045f4f9337240b,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_observed_value_inventory.csv,ac8774eea9942063d7593f8e1de5a084afa93865f14e0e796c8418022fcea3e3,ac8774eea9942063d7593f8e1de5a084afa93865f14e0e796c8418022fcea3e3,ac8774eea9942063d7593f8e1de5a084afa93865f14e0e796c8418022fcea3e3,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_source_boundary_audit.csv,b28a90a36bddf7b3522637a1374bbeddaf394cb204de198b34bf9edab6182e10,b28a90a36bddf7b3522637a1374bbeddaf394cb204de198b34bf9edab6182e10,b28a90a36bddf7b3522637a1374bbeddaf394cb204de198b34bf9edab6182e10,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_issue_readiness_inventory.csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,true,true,true,true,true,true
8,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009.py,80bdc66d2b0b2a1d761b0a1eb07f644f47535516598c3869f75a92cddafbdb39,80bdc66d2b0b2a1d761b0a1eb07f644f47535516598c3869f75a92cddafbdb39,80bdc66d2b0b2a1d761b0a1eb07f644f47535516598c3869f75a92cddafbdb39,true,true,true,true,true,true
9,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_issue_inventory.csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,true,true,true,true,true,true
10,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,true,true,true,true,true,true
11,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,true,true,true,true,true,true
12,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,true,true,true,true,true,true
13,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,true,true,true,true,true,true
14,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,true,true,true,true,true,true
15,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,true,true,true,true,true,true
16,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,true,true,true,true,true,true
