source_order,source_relative_path,source_kind,boundary_necessity,tracked,base_tree_blob,filesystem_regular,non_symlink,safe_descendant,expected_sha256,base_tree_sha256,filesystem_sha256,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate.py,py,committed design source and independent oracle identity,true,true,true,true,true,cbff1bd3fe4e6d65c9be33a5efee4d80ea1f9310cb7cb73e45dc4e1055a2de05,cbff1bd3fe4e6d65c9be33a5efee4d80ea1f9310cb7cb73e45dc4e1055a2de05,cbff1bd3fe4e6d65c9be33a5efee4d80ea1f9310cb7cb73e45dc4e1055a2de05,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_leakage_group_assignment_provenance_contract_manifest.json,json,design manifest readiness counts and hashes,true,true,true,true,true,33fb0d6f35b49dbf98e61e2c16fafece4b01cdfcce629ff7f1ac5afb1e7e5af2,33fb0d6f35b49dbf98e61e2c16fafece4b01cdfcce629ff7f1ac5afb1e7e5af2,33fb0d6f35b49dbf98e61e2c16fafece4b01cdfcce629ff7f1ac5afb1e7e5af2,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_leakage_group_assignment_provenance_contract.csv,csv,Exact32 provenance contract,true,true,true,true,true,6daea490d7a355015f9b9f0da134d0c4e58ae48dfb7e38ed0337efdcfbe8a4a6,6daea490d7a355015f9b9f0da134d0c4e58ae48dfb7e38ed0337efdcfbe8a4a6,6daea490d7a355015f9b9f0da134d0c4e58ae48dfb7e38ed0337efdcfbe8a4a6,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_leakage_group_id_field_mapping_and_grammar_contract.csv,csv,Exact26 mapping and grammar contract,true,true,true,true,true,9de1347f94498f1e79f95b48bc4e943fe6b311715bebeb1acd730110907fb3ba,9de1347f94498f1e79f95b48bc4e943fe6b311715bebeb1acd730110907fb3ba,9de1347f94498f1e79f95b48bc4e943fe6b311715bebeb1acd730110907fb3ba,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_provenance_validation_truth_matrix.csv,csv,ordered committed Exact71 semantic oracle corpus,true,true,true,true,true,1a40d6e7ef0cbccf9408f9fca2524ab260f3291dd1fe4f1838d3e0a73b8a3ee7,1a40d6e7ef0cbccf9408f9fca2524ab260f3291dd1fe4f1838d3e0a73b8a3ee7,1a40d6e7ef0cbccf9408f9fca2524ab260f3291dd1fe4f1838d3e0a73b8a3ee7,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_provenance_contract_source_boundary_audit.csv,csv,design source boundary audit,true,true,true,true,true,607660277c3f2ee4931cfc4601017ed57b8953eb738a3535f5580a21591107f6,607660277c3f2ee4931cfc4601017ed57b8953eb738a3535f5580a21591107f6,607660277c3f2ee4931cfc4601017ed57b8953eb738a3535f5580a21591107f6,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_provenance_contract_issue_readiness_inventory.csv,csv,authoritative Exact11 issue inventory preservation baseline,true,true,true,true,true,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,true
8,src/covalent_ext/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit.py,py,formal evaluator preconditions source,true,true,true,true,true,229945a3edad28ee7770172cb931e05ac463db56b0dd1abe57a8053bb4d7e5b1,229945a3edad28ee7770172cb931e05ac463db56b0dd1abe57a8053bb4d7e5b1,229945a3edad28ee7770172cb931e05ac463db56b0dd1abe57a8053bb4d7e5b1,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_preconditions_manifest.json,json,formal evaluator preconditions manifest,true,true,true,true,true,29df6cdf3b1eb7c1a690610d9fad88055797caba58f27f01f0b7da0d488d4c43,29df6cdf3b1eb7c1a690610d9fad88055797caba58f27f01f0b7da0d488d4c43,29df6cdf3b1eb7c1a690610d9fad88055797caba58f27f01f0b7da0d488d4c43,true
10,src/covalent_ext/covapie_bulk_download_admission_admit_009_rule_logic_interface.py,py,mature ADMIT_009 standalone structural predecessor,true,true,true,true,true,3649971eec020c5981a3ba8bfddeb604797f8557fb6036efd6094a2b0d6ab4e4,3649971eec020c5981a3ba8bfddeb604797f8557fb6036efd6094a2b0d6ab4e4,3649971eec020c5981a3ba8bfddeb604797f8557fb6036efd6094a2b0d6ab4e4,true
11,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_rule_logic_interface_v1/covapie_admit_009_rule_logic_interface_contract.csv,csv,ADMIT_009 Exact46 interface contract,true,true,true,true,true,ea02293b7a43ee22c34c029192bdce4e3356fe9c69688bb66169a939b39eda67,ea02293b7a43ee22c34c029192bdce4e3356fe9c69688bb66169a939b39eda67,ea02293b7a43ee22c34c029192bdce4e3356fe9c69688bb66169a939b39eda67,true
12,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_rule_logic_interface_v1/covapie_admit_009_rule_logic_interface_manifest.json,json,ADMIT_009 standalone manifest and readiness boundary,true,true,true,true,true,b69941408b6f6098e926f7cf3f60cf526811e78a71cb07000c332511b19d5447,b69941408b6f6098e926f7cf3f60cf526811e78a71cb07000c332511b19d5447,b69941408b6f6098e926f7cf3f60cf526811e78a71cb07000c332511b19d5447,true
13,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009.py,py,current Exact9 runtime with absent ADMIT_010 registration,true,true,true,true,true,80bdc66d2b0b2a1d761b0a1eb07f644f47535516598c3869f75a92cddafbdb39,80bdc66d2b0b2a1d761b0a1eb07f644f47535516598c3869f75a92cddafbdb39,80bdc66d2b0b2a1d761b0a1eb07f644f47535516598c3869f75a92cddafbdb39,true
