contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
1,CONTRACT_001,identity,rule,ADMIT_011|raw_overwrite_forbidden|covapie_admit_011_unified_adapter_v1,frozen
2,CONTRACT_002,registry,current_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010,frozen
3,CONTRACT_003,registry,future_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011,frozen
4,CONTRACT_004,registry,known_ids,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,frozen
5,CONTRACT_005,candidate,fields,raw_target_relative_path,frozen
6,CONTRACT_006,context,standalone_consumption_order,raw_target_relative_path_contract|existing_raw_target_relative_paths,frozen
7,CONTRACT_007,formal,public_parameter_order,raw_target_relative_path|existing_raw_target_relative_paths|raw_target_relative_path_contract,frozen
8,CONTRACT_008,formal,exactly_once,true,frozen
9,CONTRACT_009,oracle,exactly_once_after_source_validation,true,frozen
10,CONTRACT_010,oracle,exact_result_type,Admit011EvaluationResultDesign,frozen
11,CONTRACT_011,source,exact10_fields,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_raw_target_relative_path|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used,frozen
12,CONTRACT_012,projection,exact13_fields,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,frozen
13,CONTRACT_013,dispatch,exact6_fields,code|admission_rule_id|known_rule|callable_discovered|adapter_ready|reason,frozen
14,CONTRACT_014,dispatch,error_codes,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID|UNIFIED_ADMISSION_RULE_ID_UNKNOWN|UNIFIED_ADMISSION_RULE_NOT_REGISTERED|UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY|UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,frozen
15,CONTRACT_015,result,outcomes,passed|blocked|invalid|rejected,frozen
16,CONTRACT_016,routing,precedence,batch_context_must_be_none|evaluation_context_mapping_validation|raw_target_relative_path_contract_required_key_lookup|existing_raw_target_relative_paths_required_key_lookup|download_result_context_must_be_none|stage_authorization_context_must_be_none|candidate_record_mapping_validation|raw_target_relative_path_required_key_lookup|formal_evaluator|standalone_source_validation|independent_oracle|full_exact10_equality|exact13_projection,frozen
17,CONTRACT_017,routing,mapping,Mapping_subclasses_allowed_direct_lookup_once_KeyError_only,frozen
18,CONTRACT_018,routing,lookup_counts,contract=1|snapshot=1|candidate=1,frozen
19,CONTRACT_019,identity,object_identity,candidate_snapshot_contract_preserved_for_formal_and_oracle,frozen
20,CONTRACT_020,source,validation,exact_type_storage_order_types_reconstruction_post_init_full_invariants,frozen
21,CONTRACT_021,source,oracle_equivalence,all_Exact10_values_and_types_equal,frozen
22,CONTRACT_022,projection,normalized_values,source.validated_candidate_fields,frozen
23,CONTRACT_023,projection,adapter_side_path_processing,none,frozen
24,CONTRACT_024,boundary,runtime,design_only_no_handler_registry_or_dispatcher,frozen
25,CONTRACT_025,boundary,operations,no_provider_mapping_raw_network_download_model_checkpoint_training,frozen
26,CONTRACT_026,training,prerequisite,feature_semantics_audit_required_Step12D_smoke_only,frozen
