safety_item,expected_executed,observed_executed,safety_passed
adapter_contract_design,true,true,true
candidate_projection_design,true,true,true
context_routing_design,true,true,true
standalone_source_validation_design,true,true,true
independent_oracle_equivalence_design,true,true,true
exact10_to_exact13_projection_design,true,true,true
formal_exactly_once,true,true,true
oracle_exactly_once,true,true,true
candidate_context_identity_preserved,true,true,true
deterministic_set_atomic_materialization,true,true,true
source_attestation,true,true,true
issue_inventory_preservation,true,true,true
design_only_status,true,true,true
runtime_handler,false,false,true
registry_modification,false,false,true
dispatcher_modification,false,false,true
adapter_filesystem_use,false,false,true
network,false,false,true
raw_read_or_enumeration,false,false,true
checkpoint,false,false,true
provider_mapping,false,false,true
download,false,false,true
candidate_context_mutation,false,false,true
model_forward,false,false,true
model_loss,false,false,true
dataloader,false,false,true
training,false,false,true
fine_tune,false,false,true
parameter_update,false,false,true
stage,false,false,true
commit,false,false,true
push,false,false,true
