source_order,source_relative_path,source_kind,base_tree_mode,expected_sha256,base_tree_sha256,filesystem_sha256,frozen_snapshot_sha256,git_tracked,base_tree_blob,filesystem_regular,non_symlink,parent_chain_non_symlink,safe_descendant,pinned_fd_read,triple_sha256_passed,source_boundary_passed
1,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_relative_path_contract_manifest.json,committed_manifest,100644,9718090b212e3338bddef1fb7d6fb62e39d95e1911fe5bdd0ff6613b364e8bf4,9718090b212e3338bddef1fb7d6fb62e39d95e1911fe5bdd0ff6613b364e8bf4,9718090b212e3338bddef1fb7d6fb62e39d95e1911fe5bdd0ff6613b364e8bf4,9718090b212e3338bddef1fb7d6fb62e39d95e1911fe5bdd0ff6613b364e8bf4,true,true,true,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_unified_adapter_contract_design_gate_v1/covapie_admit_011_unified_adapter_contract_manifest.json,committed_manifest,100644,d5ad2622b5182898c418d774e4c0deb33fc2fb643caaa5da0507cabb3824f884,d5ad2622b5182898c418d774e4c0deb33fc2fb643caaa5da0507cabb3824f884,d5ad2622b5182898c418d774e4c0deb33fc2fb643caaa5da0507cabb3824f884,d5ad2622b5182898c418d774e4c0deb33fc2fb643caaa5da0507cabb3824f884,true,true,true,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1/covapie_admit_012_formal_evaluator_precondition_matrix.csv,committed_csv,100644,c667c5f195a1d834672564835380896553339833041d17cc2f689db23f9d319f,c667c5f195a1d834672564835380896553339833041d17cc2f689db23f9d319f,c667c5f195a1d834672564835380896553339833041d17cc2f689db23f9d319f,c667c5f195a1d834672564835380896553339833041d17cc2f689db23f9d319f,true,true,true,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1/covapie_admit_012_formal_evaluator_preconditions_manifest.json,committed_manifest,100644,712caa27add06784db5cfe2e59a65952ae4b1c5a369ff43772d8e4f95b18c4de,712caa27add06784db5cfe2e59a65952ae4b1c5a369ff43772d8e4f95b18c4de,712caa27add06784db5cfe2e59a65952ae4b1c5a369ff43772d8e4f95b18c4de,712caa27add06784db5cfe2e59a65952ae4b1c5a369ff43772d8e4f95b18c4de,true,true,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1/covapie_admit_012_issue_readiness_inventory.csv,committed_csv,100644,5ebe9332137bfa9c7804c82041ff695b3379ba505a5eb006fa5c7798510e8529,5ebe9332137bfa9c7804c82041ff695b3379ba505a5eb006fa5c7798510e8529,5ebe9332137bfa9c7804c82041ff695b3379ba505a5eb006fa5c7798510e8529,5ebe9332137bfa9c7804c82041ff695b3379ba505a5eb006fa5c7798510e8529,true,true,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1/covapie_admit_012_observed_value_inventory.csv,committed_csv,100644,dc47865f2f176b9e37aac0caf71fdacee1275eece19351cb69d31f64ad14104f,dc47865f2f176b9e37aac0caf71fdacee1275eece19351cb69d31f64ad14104f,dc47865f2f176b9e37aac0caf71fdacee1275eece19351cb69d31f64ad14104f,dc47865f2f176b9e37aac0caf71fdacee1275eece19351cb69d31f64ad14104f,true,true,true,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1/covapie_admit_012_source_boundary_audit.csv,committed_csv,100644,4272d31320a9b32e503d4fda49df5c21778238b46e5f2b51bb1dbbb1a3d5ce5e,4272d31320a9b32e503d4fda49df5c21778238b46e5f2b51bb1dbbb1a3d5ce5e,4272d31320a9b32e503d4fda49df5c21778238b46e5f2b51bb1dbbb1a3d5ce5e,4272d31320a9b32e503d4fda49df5c21778238b46e5f2b51bb1dbbb1a3d5ce5e,true,true,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_design_gate_manifest.json,committed_manifest,100644,085cb2f2a6bfe9bebe9e503dd10aa0b4d6f9ad754ff99539b1bafb33c78b5444,085cb2f2a6bfe9bebe9e503dd10aa0b4d6f9ad754ff99539b1bafb33c78b5444,085cb2f2a6bfe9bebe9e503dd10aa0b4d6f9ad754ff99539b1bafb33c78b5444,085cb2f2a6bfe9bebe9e503dd10aa0b4d6f9ad754ff99539b1bafb33c78b5444,true,true,true,true,true,true,true,true,true
9,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,committed_csv,100644,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,true,true,true,true,true,true,true,true,true
10,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,committed_csv,100644,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,true,true,true,true,true,true,true,true,true
11,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,committed_csv,100644,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,true,true,true,true,true,true,true,true,true
12,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,committed_csv,100644,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,true,true,true,true,true,true,true,true,true
13,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,committed_csv,100644,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,true,true,true,true,true,true,true,true,true
14,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_precondition_manifest.json,committed_manifest,100644,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,true,true,true,true,true,true,true,true,true
