row_order,row_kind,enum_version,canonical_order,status_value,canonical_allowed,success_member,future_admit_013_disposition,historical_source_path,historical_field_name,historical_literal,promoted_to_canonical,notes,row_passed
1,canonical_enum,covapie_download_result_status_v1,1,success,true,true,pending_integrity_match_checks_not_implemented_here,,,,not_applicable,closed V1 canonical enum,true
2,canonical_enum,covapie_download_result_status_v1,2,failure,true,false,blocked_not_implemented_here,,,,not_applicable,closed V1 canonical enum,true
3,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/covapie_cys_sg_discovery_download_smoke.py,download_status,downloaded,false,static historical naming evidence only; no alias conversion or semantic promotion,true
4,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/covapie_cys_sg_discovery_download_smoke.py,download_status,existing_reused,false,static historical naming evidence only; no alias conversion or semantic promotion,true
5,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/covapie_cys_sg_discovery_download_smoke.py,download_status,failed_with_reason,false,static historical naming evidence only; no alias conversion or semantic promotion,true
6,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/covapie_independent_group_expansion_acquisition_execution_smoke.py,download_status,blocked_invalid_existing_raw,false,static historical naming evidence only; no alias conversion or semantic promotion,true
7,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/covapie_independent_group_expansion_acquisition_execution_smoke.py,download_status,blocked_network_execution_not_requested,false,static historical naming evidence only; no alias conversion or semantic promotion,true
8,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/covapie_independent_group_expansion_acquisition_execution_smoke.py,download_status,download_failed_or_invalid_payload,false,static historical naming evidence only; no alias conversion or semantic promotion,true
9,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/covapie_independent_group_expansion_acquisition_execution_smoke.py,download_status,downloaded,false,static historical naming evidence only; no alias conversion or semantic promotion,true
10,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/covapie_independent_group_expansion_acquisition_execution_smoke.py,download_status,reused_existing_valid_raw,false,static historical naming evidence only; no alias conversion or semantic promotion,true
11,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/covapie_small_pilot_download_manifest_gate.py,download_status,pending_not_downloaded,false,static historical naming evidence only; no alias conversion or semantic promotion,true
12,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/real_covalent_pilot_download_execution_gate.py,provenance_status,download_failed,false,static historical naming evidence only; no alias conversion or semantic promotion,true
13,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/real_covalent_pilot_download_execution_gate.py,provenance_status,downloaded_raw_file_recorded,false,static historical naming evidence only; no alias conversion or semantic promotion,true
14,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/real_covalent_pilot_download_execution_gate.py,provenance_status,recorded_without_raw_file_copy,false,static historical naming evidence only; no alias conversion or semantic promotion,true
15,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/real_covalent_pilot_download_integrity_gate.py,integrity_status,failed,false,static historical naming evidence only; no alias conversion or semantic promotion,true
16,historical_literal,covapie_download_result_status_v1,,,false,false,not_applicable_historical_noncontract_evidence,src/covalent_ext/real_covalent_pilot_download_integrity_gate.py,integrity_status,passed,false,static historical naming evidence only; no alias conversion or semantic promotion,true
