case_order,case_id,case_group,assertion_kind,download_result_status_representation,observed_http_status_representation,observed_content_length_bytes_representation,observed_sha256_representation,allowed_download_result_statuses_representation,successful_http_status_contract_representation,content_length_contract_representation,sha256_format_contract_representation,expected_admission_rule_id,expected_outcome,expected_passed,expected_blocks_candidate,expected_reason,expected_canonical_download_result_record,expected_validated_download_result_fields,expected_consumed_download_result_fields,expected_consumed_context_items,expected_evaluator_io_used,observed_formal_result,formal_source,evaluator_io_used,truth_passed
1,FIELD52_VALID_STATUS_SUCCESS,field52_canonical_valid,formal_projection,'success',200,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,passed,true,false,,"(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract')",false,"('ADMIT_012', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract'), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
2,FIELD52_VALID_STATUS_FAILURE,field52_canonical_valid,formal_projection,'failure',200,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,passed,true,false,,"(('download_result_status', 'failure'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('download_result_status', 'failure'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract')",false,"('ADMIT_012', 'passed', True, False, '', (('download_result_status', 'failure'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('download_result_status', 'failure'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract'), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
3,FIELD52_VALID_HTTP_100,field52_canonical_valid,formal_projection,'success',100,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,passed,true,false,,"(('download_result_status', 'success'), ('observed_http_status', 100), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('download_result_status', 'success'), ('observed_http_status', 100), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract')",false,"('ADMIT_012', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 100), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('download_result_status', 'success'), ('observed_http_status', 100), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract'), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
4,FIELD52_VALID_HTTP_299,field52_canonical_valid,formal_projection,'success',299,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,passed,true,false,,"(('download_result_status', 'success'), ('observed_http_status', 299), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('download_result_status', 'success'), ('observed_http_status', 299), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract')",false,"('ADMIT_012', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 299), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('download_result_status', 'success'), ('observed_http_status', 299), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract'), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
5,FIELD52_VALID_HTTP_300,field52_canonical_valid,formal_projection,'success',300,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,passed,true,false,,"(('download_result_status', 'success'), ('observed_http_status', 300), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('download_result_status', 'success'), ('observed_http_status', 300), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract')",false,"('ADMIT_012', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 300), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('download_result_status', 'success'), ('observed_http_status', 300), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract'), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
6,FIELD52_VALID_HTTP_599,field52_canonical_valid,formal_projection,'success',599,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,passed,true,false,,"(('download_result_status', 'success'), ('observed_http_status', 599), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('download_result_status', 'success'), ('observed_http_status', 599), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract')",false,"('ADMIT_012', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 599), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('download_result_status', 'success'), ('observed_http_status', 599), ('observed_content_length_bytes', 1), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract'), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
7,FIELD52_VALID_CONTENT_ZERO,field52_canonical_valid,formal_projection,'success',200,0,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,passed,true,false,,"(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 0), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 0), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract')",false,"('ADMIT_012', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 0), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 0), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract'), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
8,FIELD52_VALID_CONTENT_LARGE,field52_canonical_valid,formal_projection,'success',200,1000000000000000000000000000000,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,passed,true,false,,"(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1000000000000000000000000000000), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1000000000000000000000000000000), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract')",false,"('ADMIT_012', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1000000000000000000000000000000), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1000000000000000000000000000000), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract'), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
9,FIELD52_VALID_SHA_LOWERCASE64,field52_canonical_valid,formal_projection,'success',200,1,'abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,passed,true,false,,"(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', 'abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789'))","(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', 'abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789'))","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract')",false,"('ADMIT_012', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', 'abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789')), (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 1), ('observed_sha256', 'abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789')), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('allowed_download_result_statuses', 'successful_http_status_contract', 'content_length_contract', 'sha256_format_contract'), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
10,FIELD52_MISSING_STATUS,field52_missing,formal_projection,<MISSING>,200,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,blocked,false,true,DOWNLOAD_RESULT_STATUS_MISSING,(),(),"('download_result_status',)",(),false,"('ADMIT_012', 'blocked', False, True, 'DOWNLOAD_RESULT_STATUS_MISSING', (), (), ('download_result_status',), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
