case_order,case_id,case_group,stage_context_representation,forbidden_envelope_representation,expected_outcome,observed_outcome,expected_reason,observed_reason,target_key_access_count,mapping_iteration_count,mapping_len_count,mapping_get_count,mapping_contains_count,forbidden_envelope_access_count,case_passed
1,CONTEXT_NONE,context_structure,None,,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,0,0,0,0,0,0,true
2,CONTEXT_OBJECT,context_structure,object,,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,0,0,0,0,0,0,true
3,CONTEXT_INT,context_structure,int,,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,0,0,0,0,0,0,true
4,CONTEXT_STR,context_structure,str,,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,0,0,0,0,0,0,true
5,CONTEXT_LIST,context_structure,list,,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,0,0,0,0,0,0,true
6,EMPTY_MAPPING,context_structure,{},,blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,1,0,0,0,0,0,true
7,UNRELATED_ONLY,context_structure,{'other': True},,blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,1,0,0,0,0,0,true
8,EXACT_FALSE,exact_bool,{'current_stage_download_authorized': False},,blocked,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,BULK_DOWNLOAD_NOT_AUTHORIZED,1,0,0,0,0,0,true
9,EXACT_TRUE,exact_bool,{'current_stage_download_authorized': True},,passed,passed,,,1,0,0,0,0,0,true
10,INT_ZERO,non_exact_bool,{'current_stage_download_authorized': 0},,blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,1,0,0,0,0,0,true
