source_order,source_relative_path,expected_sha256,base_tree_mode,tracked,index_stage_zero,base_tree_blob,filesystem_regular,non_symlink,parent_chain_non_symlink,safe_descendant,pinned_fd_read,post_read_identity_verified,source_verified
1,src/covalent_ext/covapie_bulk_download_admission_admit_014_download_authorization_contract_design_gate.py,b2616c01234c899695c08280daacfa21cb137b847a01f5bf6e52e807b0770434,100644,true,true,6dfb751c56343b99cfbc1a6473bebf74e3f9ed92,true,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_value_and_trust_contract.csv,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d,100644,true,true,6e616666e8c44d2319bbc650895d10ad066790b5,true,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_stage_authorization_routing_and_enforcement_contract.csv,68bc56b214f212ffec359049146e371ac7ce48bed34bfd6bb80313a2fd7046a6,100644,true,true,5c78dcfdce1c8a0057d4eb44a0d34e74588acd52,true,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_failure_taxonomy_and_precedence.csv,1970da57fdec24e9c5b6e518e1dfa7c2103d3bef6da065b24e3d61a296cdeffc,100644,true,true,e5b3e53d03fd66fc6713cf937130784c6502a50f,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_truth_matrix.csv,e4f39f5178b91906639670f5c1ddb1c02b40c802de9ce386aee2a6b6d49f8482,100644,true,true,994f2537b45fc229d205c18ba32396d9f4cbe194,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_issue_readiness_inventory.csv,10e3475cb329d517c27fae26636294d0aa69a609a3c59a8b7f0119b0b123edbe,100644,true,true,bfae65be9155592542a9c6a59fe328f35d4a38ba,true,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2,100644,true,true,9ec5544520ac62e3e4c5202080c306a1d60440fd,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_rule_logic_interface_preconditions_audit_v1/covapie_admit_014_formal_evaluator_precondition_matrix.csv,6b52a4e96dd960e7df53b7160f5cd00d63fbeb62ee5bc5ec9882623efd268c30,100644,true,true,0b2b76e0cbf498befa7fbbe1e10a68e8995404a0,true,true,true,true,true,true,true
9,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,100644,true,true,9eb36604b2bc40f2c94b36851b17b3dc82e2130b,true,true,true,true,true,true,true
10,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013.py,79f95b6e178044ff5b4f5abbd6445b6cd848e81ba1a8a16cacdf831b05b9b892,100644,true,true,f29960e21a0b24f2978ad30b827881c6123f79e2,true,true,true,true,true,true,true
11,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1/covapie_admit_001_to_013_runtime_manifest.json,2940e6cc02a92b4919cdece3b1fa7c2f5e27d844f2962bb18757197266c23f79,100644,true,true,9c5a50a796ae827ec53b82eec7fd81a252736441,true,true,true,true,true,true,true
