audit_order,audit_kind,definition_name,definition_kind,reachable_from,normalized_ast_sha256,permitted_global_bindings,permitted_calls,observed,forbidden_io_absent,mutation_absent,dynamic_dispatch_absent,purity_passed
1,closure_definition,_MissingAdmit014Value,private_sentinel_class,evaluate_admit_014|signature_default,ee7527b1c1d027aeb6f1dd6e8f9f161f8e6dc2755d49d3a676598c81e21a14f9,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit014EvaluationResult,reachable_and_frozen,true,true,true,true
2,closure_definition,_canonical_record_valid,function,Admit014EvaluationResult.__post_init__,9e04222a22ae478a9bd53403c1258f39ba5daa2b5e94c7eb7b51a46510c6c6e0,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit014EvaluationResult,reachable_and_frozen,true,true,true,true
3,closure_definition,_field_tuple_valid,function,Admit014EvaluationResult.__post_init__,403164b296b64d7f06e27187dafd6346a9bc22cd24e60b72e9f7f738ecd12374,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit014EvaluationResult,reachable_and_frozen,true,true,true,true
4,closure_definition,Admit014EvaluationResult,frozen_dataclass,_make_result|root,d9580ade59b9935b80b4972a20d5b5ce2c9a4d481681e29cabe08580e60aa638,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit014EvaluationResult,reachable_and_frozen,true,true,true,true
5,closure_definition,Admit014EvaluationResult.__post_init__,method,Admit014EvaluationResult,a4b01999539926b13d0d48fca38f7bce29da3606ecb5d02f25a53ec86fa1e2f5,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit014EvaluationResult,reachable_and_frozen,true,true,true,true
6,closure_definition,_make_result,function,evaluate_admit_014,90a1edd05e6248f6e11c8487dc352a07cefd9130091799ca403bd6007ea6d370,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit014EvaluationResult,reachable_and_frozen,true,true,true,true
7,closure_definition,evaluate_admit_014,function,root,bf00f8b471ec5f179d0c2378096077fc850bed0342fe1fe9337d871b2ee87471,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit014EvaluationResult,reachable_and_frozen,true,true,true,true
8,closure_metadata,production_full_sha256,attestation,checker_recomputed,,,,5f0766a4eb9dac8b00b9729b7d593adfbe105fb212eabbd4e0a3e349b35f7399,true,true,true,true
9,closure_metadata,marker_prefix_sha256,attestation,checker_recomputed,,,,503f60c182ab5840d1c56be31f562c94f2b72638b98918857ea0064da8c74cd3,true,true,true,true
10,closure_metadata,closure_complete,attestation,checker_recomputed,,,,_MissingAdmit014Value|_canonical_record_valid|_field_tuple_valid|Admit014EvaluationResult|Admit014EvaluationResult.__post_init__|_make_result|evaluate_admit_014,true,true,true,true
11,closure_metadata,reachable_global_bindings,attestation,checker_recomputed,,,,immutable constants|Mapping|dataclass|fields|formal helpers,true,true,true,true
12,closure_metadata,forbidden_io,attestation,checker_recomputed,,,,os|pathlib|subprocess|tempfile|json|csv|hashlib|importlib|environment|socket|requests|urllib|provider|download|raw absent,true,true,true,true
13,closure_metadata,forbidden_runtime,attestation,checker_recomputed,,,,evidence_builder|materializer|registry|dispatcher|model|training absent,true,true,true,true
14,closure_metadata,forbidden_dynamic_dispatch,attestation,checker_recomputed,,,,dynamic_import|eval|exec|getattr|globals|locals absent,true,true,true,true
15,closure_metadata,mutable_global_state,attestation,checker_recomputed,,,,absent,true,true,true,true
16,closure_metadata,purity_closure_complete,attestation,checker_recomputed,,,,true,true,true,true,true
