source_order,source_relative_path,source_kind,base_tree_mode,expected_sha256,base_tree_sha256,filesystem_sha256,frozen_snapshot_sha256,git_tracked,index_stage_zero,base_tree_blob,filesystem_regular,non_symlink,parent_chain_non_symlink,safe_descendant,pinned_fd_read,post_read_identity_verified,triple_sha256_passed,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_014_formal_evaluator_interface_contract_design_gate.py,python_source,100644,af25eb2f2fb84230b29d2204fff05308626e7f455a7b950aa8efb922607c298e,af25eb2f2fb84230b29d2204fff05308626e7f455a7b950aa8efb922607c298e,af25eb2f2fb84230b29d2204fff05308626e7f455a7b950aa8efb922607c298e,af25eb2f2fb84230b29d2204fff05308626e7f455a7b950aa8efb922607c298e,true,true,41bf4c475fc1b29e0ff5c51078d0ede1b06b3fcc,true,true,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_formal_evaluator_interface_contract_v1/covapie_admit_014_formal_evaluator_interface_and_result_contract.csv,committed_csv,100644,7baea79ce0010e31efcf2e70f11350ee5fc05a5c358df3926f9df591da3d3524,7baea79ce0010e31efcf2e70f11350ee5fc05a5c358df3926f9df591da3d3524,7baea79ce0010e31efcf2e70f11350ee5fc05a5c358df3926f9df591da3d3524,7baea79ce0010e31efcf2e70f11350ee5fc05a5c358df3926f9df591da3d3524,true,true,b7622860b109b36a75f7f7832d9bf49b66b8467f,true,true,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_formal_evaluator_interface_contract_v1/covapie_admit_014_formal_evaluator_routing_and_consumption_contract.csv,committed_csv,100644,9df1faddeb8aa14e8b29af10296222925361cd1f1f98c05a2cc3a2cc64c7f769,9df1faddeb8aa14e8b29af10296222925361cd1f1f98c05a2cc3a2cc64c7f769,9df1faddeb8aa14e8b29af10296222925361cd1f1f98c05a2cc3a2cc64c7f769,9df1faddeb8aa14e8b29af10296222925361cd1f1f98c05a2cc3a2cc64c7f769,true,true,64f40b599124a7789f0c2cfb90fd130379d3551b,true,true,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_formal_evaluator_interface_contract_v1/covapie_admit_014_formal_evaluator_interface_truth_matrix.csv,committed_csv,100644,55dbbddf1f3bcdb4bbd6ce763d7a0c812020241157098c6af18799cc5ffac062,55dbbddf1f3bcdb4bbd6ce763d7a0c812020241157098c6af18799cc5ffac062,55dbbddf1f3bcdb4bbd6ce763d7a0c812020241157098c6af18799cc5ffac062,55dbbddf1f3bcdb4bbd6ce763d7a0c812020241157098c6af18799cc5ffac062,true,true,9a88d88e750a0ea5f8e258ae431f736908a92432,true,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_formal_evaluator_interface_contract_v1/covapie_admit_014_formal_evaluator_interface_issue_readiness_inventory.csv,committed_csv,100644,d2510c9d2cf7ee1a1fc378e639eb69b68612e818f4e7af10a0e36dc0d788f54d,d2510c9d2cf7ee1a1fc378e639eb69b68612e818f4e7af10a0e36dc0d788f54d,d2510c9d2cf7ee1a1fc378e639eb69b68612e818f4e7af10a0e36dc0d788f54d,d2510c9d2cf7ee1a1fc378e639eb69b68612e818f4e7af10a0e36dc0d788f54d,true,true,235c5f5d170dac2f7d5e31032ce7d3d02f9a78e7,true,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_formal_evaluator_interface_contract_v1/covapie_admit_014_formal_evaluator_interface_contract_manifest.json,committed_manifest,100644,217490ef69526486b51117e4900d0669b4de466a023023ecb56ebdf0822fb731,217490ef69526486b51117e4900d0669b4de466a023023ecb56ebdf0822fb731,217490ef69526486b51117e4900d0669b4de466a023023ecb56ebdf0822fb731,217490ef69526486b51117e4900d0669b4de466a023023ecb56ebdf0822fb731,true,true,68612ddd136929dbe4baf0c68d174f6eec5f0e65,true,true,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_truth_matrix.csv,committed_csv,100644,e4f39f5178b91906639670f5c1ddb1c02b40c802de9ce386aee2a6b6d49f8482,e4f39f5178b91906639670f5c1ddb1c02b40c802de9ce386aee2a6b6d49f8482,e4f39f5178b91906639670f5c1ddb1c02b40c802de9ce386aee2a6b6d49f8482,e4f39f5178b91906639670f5c1ddb1c02b40c802de9ce386aee2a6b6d49f8482,true,true,994f2537b45fc229d205c18ba32396d9f4cbe194,true,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,committed_manifest,100644,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2,true,true,9ec5544520ac62e3e4c5202080c306a1d60440fd,true,true,true,true,true,true,true,true
9,src/covalent_ext/covapie_bulk_download_admission_admit_013_rule_logic_interface.py,python_source,100644,36a4d3080128dadcecbdda25c5a3e143ac054aba001e7ac9cd7de0e2c51307f4,36a4d3080128dadcecbdda25c5a3e143ac054aba001e7ac9cd7de0e2c51307f4,36a4d3080128dadcecbdda25c5a3e143ac054aba001e7ac9cd7de0e2c51307f4,36a4d3080128dadcecbdda25c5a3e143ac054aba001e7ac9cd7de0e2c51307f4,true,true,2d5b15d81174f5952d2307a14d504bf50357ea2c,true,true,true,true,true,true,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_rule_logic_interface_v1/covapie_admit_013_rule_logic_interface_manifest.json,committed_manifest,100644,3ecbbc4d99966c955b39cad4dae65ef9c8316c7847bd43ccef82c44863cd4fa5,3ecbbc4d99966c955b39cad4dae65ef9c8316c7847bd43ccef82c44863cd4fa5,3ecbbc4d99966c955b39cad4dae65ef9c8316c7847bd43ccef82c44863cd4fa5,3ecbbc4d99966c955b39cad4dae65ef9c8316c7847bd43ccef82c44863cd4fa5,true,true,1ee62564c032f3b49d6adbc514be69cd897988ae,true,true,true,true,true,true,true,true
