matrix_order,matrix_group,case_id,routing_condition,envelope_representation,candidate_key_access_count,adapter_stage_key_access_count,formal_call_count,oracle_call_count,formal_stage_key_access_count,oracle_stage_key_access_count,identity_preserved,expected_dispatch_code,expected_reason,expected_result_json,observed_dispatch_code,observed_reason,observed_result_json,observed_call_order,observed_identity_preserved,observed_candidate_key_access_count,observed_adapter_stage_key_access_count,observed_formal_call_count,observed_oracle_call_count,observed_formal_stage_key_access_count,observed_oracle_stage_key_access_count,case_passed
1,routing_failure,batch_non_none,first failure: batch must be None,batch=object,0,0,0,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",,n/a,0,0,0,0,0,0,true
2,routing_failure,batch_empty_mapping,empty mapping is not None,batch={},0,0,0,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",,n/a,0,0,0,0,0,0,true
3,routing_failure,evaluation_non_none,second failure: evaluation must be None,evaluation=object,0,0,0,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",,n/a,0,0,0,0,0,0,true
4,routing_failure,evaluation_empty_mapping,empty mapping is not None,evaluation={},0,0,0,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",,n/a,0,0,0,0,0,0,true
5,routing_failure,download_non_none,third failure: download result must be None,download=object,0,0,0,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",,n/a,0,0,0,0,0,0,true
6,routing_failure,download_empty_mapping,empty mapping is not None,download={},0,0,0,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",,n/a,0,0,0,0,0,0,true
7,routing_failure,multiple_invalid_batch_first,batch wins over all later failures,all forbidden non-None,0,0,0,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",,n/a,0,0,0,0,0,0,true
8,routing_failure,multiple_invalid_evaluation_first,evaluation wins over download and candidate,evaluation/download non-None,0,0,0,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",,n/a,0,0,0,0,0,0,true
9,routing_failure,multiple_invalid_download_first,download wins over candidate,download non-None candidate invalid,0,0,0,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",,n/a,0,0,0,0,0,0,true
10,candidate,candidate_non_mapping,fourth check returns invalid Exact13,candidate=object,0,0,0,0,0,0,n/a,,ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,n/a,0,0,0,0,0,0,true
