contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
1,CONTRACT_001,identity,rule,ADMIT_014|current_gate_grants_no_download_permission|covapie_admit_014_unified_adapter_v1,frozen
2,CONTRACT_002,identity,formal_evaluator,evaluate_admit_014|Admit014EvaluationResult,frozen
3,CONTRACT_003,identity,oracle,classify_admit_014_formal_evaluator_interface_design|Admit014EvaluationResultContractDesign,frozen
4,CONTRACT_004,identity,future_handler,"_evaluate_registered_admit_014(candidate_record: object, *, batch_context: object, evaluation_context: object, download_result_context: object, stage_authorization_context: object) -> 'UnifiedAdmissionRuleEvaluation'",frozen
5,CONTRACT_005,routing,five_envelopes,candidate_record|batch_context|evaluation_context|download_result_context|stage_authorization_context,frozen
6,CONTRACT_006,routing,precedence,batch_context_must_be_none|evaluation_context_must_be_none|download_result_context_must_be_none|candidate_record_mapping_validation|stage_authorization_context_forwarded_without_adapter_prevalidation|formal_evaluator_exactly_once|standalone_source_exact9_validation|independent_design_oracle_exactly_once|full_exact9_exact_type_value_equality|exact9_to_exact13_projection,frozen
7,CONTRACT_007,routing,batch,exact_None,frozen
8,CONTRACT_008,routing,evaluation,exact_None,frozen
9,CONTRACT_009,routing,download_result,exact_None,frozen
10,CONTRACT_010,routing,stage_authorization,forward_same_object_no_prevalidation,frozen
11,CONTRACT_011,candidate,mapping_only,Mapping_envelope_only_zero_key_access,frozen
12,CONTRACT_012,candidate,non_mapping_reason,ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID,frozen
13,CONTRACT_013,candidate,invalid_projection,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",frozen
14,CONTRACT_014,authority,envelope,stage_authorization_context_only,frozen
15,CONTRACT_015,authority,key,current_stage_download_authorized,frozen
16,CONTRACT_016,authority,exact_bool,False|True_no_normalization,frozen
17,CONTRACT_017,authority,adapter_direct_access,0,frozen
18,CONTRACT_018,authority,stable_mapping_total_access,2_formal_then_oracle,frozen
19,CONTRACT_019,authority,none_or_non_mapping_access,0,frozen
20,CONTRACT_020,authority,coexistence_item,current_stage_training_authorized,frozen
21,CONTRACT_021,routing,private_sentinel,not_imported_read_or_passed,frozen
22,CONTRACT_022,formal,call,keyword_only_exactly_once_after_routing,frozen
23,CONTRACT_023,formal,identity,stage_context_exact_object_identity_preserved,frozen
24,CONTRACT_024,source,exact9_fields,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_stage_authorization_record|validated_stage_authorization_fields|consumed_stage_authorization_fields|evaluator_io_used,frozen
25,CONTRACT_025,source,validation,exact_type_storage_order_types_reconstruction_reason_pair_invariants,frozen
26,CONTRACT_026,source,type_failure,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY|ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID|adapter_ready=false,frozen
27,CONTRACT_027,source,invariant_failure,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY|ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID|adapter_ready=false,frozen
28,CONTRACT_028,oracle,call,same_stage_context_exactly_once_after_source_validation,frozen
29,CONTRACT_029,oracle,identity,stage_context_exact_object_identity_preserved,frozen
30,CONTRACT_030,oracle,equality,full_Exact9_exact_type_value_storage_order,frozen
31,CONTRACT_031,projection,exact13_fields,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,frozen
32,CONTRACT_032,projection,normalized,canonical_stage_bool_to_lowercase_string,frozen
33,CONTRACT_033,projection,validated_candidate,always_empty,frozen
34,CONTRACT_034,projection,consumed_candidate,always_empty,frozen
35,CONTRACT_035,projection,consumed_context,source_consumed_stage_authorization_fields,frozen
36,CONTRACT_036,projection,false,false,frozen
37,CONTRACT_037,projection,true,true,frozen
38,CONTRACT_038,projection,no_schema_widening,Exact13_exact_string_pairs_only,frozen
39,CONTRACT_039,projection,validated_stage_note,retained_by_normalized_values_not_candidate_fields,frozen
40,CONTRACT_040,registry,current_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013,frozen
41,CONTRACT_041,registry,future_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,frozen
42,CONTRACT_042,registry,future_callable,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,frozen
43,CONTRACT_043,registry,future_adapter_ready,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,frozen
44,CONTRACT_044,registry,future_known_not_registered,ADMIT_015,frozen
45,CONTRACT_045,registry,first13_identity,exact_object_identity_preserved,frozen
46,CONTRACT_046,precondition,resolved,PRE_048,frozen
47,CONTRACT_047,precondition,remaining,PRE_049,frozen
48,CONTRACT_048,precondition,counts,total=51|complete=50|incomplete=1|blocking=1,frozen
49,CONTRACT_049,issue,continuity,Exact30_byte_identical_zero_transitions,frozen
50,CONTRACT_050,issue,coverage,ADMIT_014|ADMIT_015,frozen
51,CONTRACT_051,boundary,runtime,design_only_no_handler_registry_dispatcher_runtime_mutation,frozen
52,CONTRACT_052,boundary,aggregation,no_combined_verdict_or_cross_rule_aggregation,frozen
