source_order,source_relative_path,expected_sha256,base_tree_mode,base_tree_blob,index_mode,index_blob,index_stage,base_tree_sha256,filesystem_sha256,tracked,regular_file,non_symlink,pinned_read,post_read_identity_verified,final_leaf_identity_verified,source_verified
1,src/covalent_ext/covapie_bulk_download_admission_admit_015_training_authorization_contract.py,77d278f6c0666d9843c86151bb8189836639e89f93b9488c92c5e7169a3d76e1,100644,b934927d33bf02f02728e1f1256b9f9b7acfc21d,100644,b934927d33bf02f02728e1f1256b9f9b7acfc21d,0,77d278f6c0666d9843c86151bb8189836639e89f93b9488c92c5e7169a3d76e1,77d278f6c0666d9843c86151bb8189836639e89f93b9488c92c5e7169a3d76e1,true,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_training_authorization_contract_v1/covapie_admit_015_training_authorization_contract.csv,d8cdc33a8debac9959563047b54a0975c5318c09ffefc3b69b9025e8e768254d,100644,700b4cc67e28077915980ace331bf66167b5a3f9,100644,700b4cc67e28077915980ace331bf66167b5a3f9,0,d8cdc33a8debac9959563047b54a0975c5318c09ffefc3b69b9025e8e768254d,d8cdc33a8debac9959563047b54a0975c5318c09ffefc3b69b9025e8e768254d,true,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_training_authorization_contract_v1/covapie_admit_015_training_authorization_truth_matrix.csv,bc1070cb7df2db7ee05c4c8aa21ea9563a08974b620d44ee42c193c63b4fb37b,100644,f5d0c4bbaee3325a91b99b1f8a925fca5a17a49f,100644,f5d0c4bbaee3325a91b99b1f8a925fca5a17a49f,0,bc1070cb7df2db7ee05c4c8aa21ea9563a08974b620d44ee42c193c63b4fb37b,bc1070cb7df2db7ee05c4c8aa21ea9563a08974b620d44ee42c193c63b4fb37b,true,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_training_authorization_contract_v1/covapie_admit_015_training_authorization_value_and_trust_contract.csv,eab6be6568b3a8a8fba298eab6fff052184922a70b2893663311d437c6735d7e,100644,96aebff5cb3762b3648bcde722ddc11164e520fd,100644,96aebff5cb3762b3648bcde722ddc11164e520fd,0,eab6be6568b3a8a8fba298eab6fff052184922a70b2893663311d437c6735d7e,eab6be6568b3a8a8fba298eab6fff052184922a70b2893663311d437c6735d7e,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_training_authorization_contract_v1/covapie_admit_015_training_authorization_safety_boundary_audit.csv,ed6fb5650716c9135157393eff6b8882781c063c569a5be5aafc550c249969d0,100644,d407b69570a5a9879dd1fcb2c783b635bad15de2,100644,d407b69570a5a9879dd1fcb2c783b635bad15de2,0,ed6fb5650716c9135157393eff6b8882781c063c569a5be5aafc550c249969d0,ed6fb5650716c9135157393eff6b8882781c063c569a5be5aafc550c249969d0,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_training_authorization_contract_v1/covapie_admit_015_issue_readiness_inventory.csv,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,100644,f323dae10ae7017c96e8f94494d611392c0e1bdc,100644,f323dae10ae7017c96e8f94494d611392c0e1bdc,0,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,true,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_training_authorization_contract_v1/covapie_admit_015_training_authorization_contract_manifest.json,16ea4bb5f781c6f6d8277fb4142258c2bee4849b942582e48692373caee5cda1,100644,d7a01269a1fceff7eed2aa34eb0bbcd88a47b17c,100644,d7a01269a1fceff7eed2aa34eb0bbcd88a47b17c,0,16ea4bb5f781c6f6d8277fb4142258c2bee4849b942582e48692373caee5cda1,16ea4bb5f781c6f6d8277fb4142258c2bee4849b942582e48692373caee5cda1,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_015_formal_evaluator_interface_precondition_inventory.csv,c52287ac5a435e58a400be0e33e17c1096b7b0d3b2671be0398a6be03e409839,100644,fa9af90c3e47160d9fa7268b4dc4695263cd9588,100644,fa9af90c3e47160d9fa7268b4dc4695263cd9588,0,c52287ac5a435e58a400be0e33e17c1096b7b0d3b2671be0398a6be03e409839,c52287ac5a435e58a400be0e33e17c1096b7b0d3b2671be0398a6be03e409839,true,true,true,true,true,true,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_015_formal_evaluator_interface_preconditions_manifest.json,7f64389a018c9bc1170ffeb94d1f393aefc27f67edef1d85143659f43dc8d729,100644,c8617ff10dbdf10679e41920bc9e4124e98bd7fc,100644,c8617ff10dbdf10679e41920bc9e4124e98bd7fc,0,7f64389a018c9bc1170ffeb94d1f393aefc27f67edef1d85143659f43dc8d729,7f64389a018c9bc1170ffeb94d1f393aefc27f67edef1d85143659f43dc8d729,true,true,true,true,true,true,true
10,src/covalent_ext/covapie_bulk_download_admission_admit_014_formal_evaluator_interface_contract_design_gate.py,af25eb2f2fb84230b29d2204fff05308626e7f455a7b950aa8efb922607c298e,100644,41bf4c475fc1b29e0ff5c51078d0ede1b06b3fcc,100644,41bf4c475fc1b29e0ff5c51078d0ede1b06b3fcc,0,af25eb2f2fb84230b29d2204fff05308626e7f455a7b950aa8efb922607c298e,af25eb2f2fb84230b29d2204fff05308626e7f455a7b950aa8efb922607c298e,true,true,true,true,true,true,true
