audit_order,audit_kind,definition_name,definition_kind,reachable_from,normalized_ast_sha256,permitted_global_bindings,permitted_calls,observed,forbidden_io_absent,mutation_absent,dynamic_dispatch_absent,purity_passed
1,closure_definition,_MissingAdmit015Value,private_sentinel_class,evaluate_admit_015|signature_default,c21678cb19cf064c4ebb60df2fb3cf93000cd155bc895baa796a339218168786,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit015EvaluationResult,reachable_and_frozen,true,true,true,true
2,closure_definition,_canonical_record_valid,function,Admit015EvaluationResult.__post_init__,9e04222a22ae478a9bd53403c1258f39ba5daa2b5e94c7eb7b51a46510c6c6e0,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit015EvaluationResult,reachable_and_frozen,true,true,true,true
3,closure_definition,_field_tuple_valid,function,Admit015EvaluationResult.__post_init__,403164b296b64d7f06e27187dafd6346a9bc22cd24e60b72e9f7f738ecd12374,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit015EvaluationResult,reachable_and_frozen,true,true,true,true
4,closure_definition,Admit015EvaluationResult,frozen_dataclass,_make_result|root,8e7993360580f359cf2a531883509a8521107c6b80d6df6c612767e3b3ac18a8,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit015EvaluationResult,reachable_and_frozen,true,true,true,true
5,closure_definition,Admit015EvaluationResult.__post_init__,method,Admit015EvaluationResult,a2d0358aed8dfb6679e1210b690f54b3b4e7f5e4ebe67d413bbe11a43707ff74,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit015EvaluationResult,reachable_and_frozen,true,true,true,true
6,closure_definition,_make_result,function,evaluate_admit_015,6bd7a06114e040b1aba9d5b27e580a5cd7780f76336836848e7ef32891919a22,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit015EvaluationResult,reachable_and_frozen,true,true,true,true
7,closure_definition,evaluate_admit_015,function,root,b91ce410ddd4cb555952531144e377a7cd296b4b66011c6a2473e683dd39cbed,immutable_formal_constants|Mapping|dataclass|fields|pure_helpers,exact_builtins|isinstance|formal_helpers|Admit015EvaluationResult,reachable_and_frozen,true,true,true,true
8,closure_metadata,production_full_sha256,attestation,checker_recomputed,,,,eacb5c1ac583649a34cdb9dcde4c004a861da43609b9ffb964a715a427883a82,true,true,true,true
9,closure_metadata,marker_prefix_sha256,attestation,checker_recomputed,,,,d9c98704ea4464e12c6866d725b5445c566ab0183b67ca1e2e8f53860c47dbf9,true,true,true,true
10,closure_metadata,closure_complete,attestation,checker_recomputed,,,,_MissingAdmit015Value|_canonical_record_valid|_field_tuple_valid|Admit015EvaluationResult|Admit015EvaluationResult.__post_init__|_make_result|evaluate_admit_015,true,true,true,true
11,closure_metadata,reachable_global_bindings,attestation,checker_recomputed,,,,immutable constants|Mapping|dataclass|fields|formal helpers,true,true,true,true
12,closure_metadata,forbidden_io,attestation,checker_recomputed,,,,os|pathlib|subprocess|tempfile|json|csv|hashlib|importlib|environment|socket|requests|urllib|provider|download|raw absent,true,true,true,true
13,closure_metadata,forbidden_runtime,attestation,checker_recomputed,,,,evidence_builder|materializer|registry|dispatcher|model|training absent,true,true,true,true
14,closure_metadata,forbidden_dynamic_dispatch,attestation,checker_recomputed,,,,dynamic_import|eval|exec|getattr|globals|locals absent,true,true,true,true
15,closure_metadata,mutable_global_state,attestation,checker_recomputed,,,,absent,true,true,true,true
16,closure_metadata,purity_closure_complete,attestation,checker_recomputed,,,,true,true,true,true,true
