source_order,source_relative_path,source_kind,base_tree_mode,expected_sha256,base_tree_sha256,filesystem_sha256,frozen_snapshot_sha256,git_tracked,index_stage_zero,base_tree_blob,filesystem_regular,non_symlink,parent_chain_non_symlink,safe_descendant,pinned_fd_read,post_read_identity_verified,triple_sha256_passed,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_contract_design_gate.py,python_source,100644,48e2135517cad1ad7744345c3cb5f45e5b29d9c91fd41850eb80a96785e0daa3,48e2135517cad1ad7744345c3cb5f45e5b29d9c91fd41850eb80a96785e0daa3,48e2135517cad1ad7744345c3cb5f45e5b29d9c91fd41850eb80a96785e0daa3,48e2135517cad1ad7744345c3cb5f45e5b29d9c91fd41850eb80a96785e0daa3,true,true,a6cbad712074608106ddb0b52fc7ec88e988ef67,true,true,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_contract_v1/covapie_admit_015_formal_evaluator_interface_and_result_contract.csv,committed_csv,100644,5e4e6b3a222ebe65c2ed89e8ce2d98a9ce31043235417bee9d166cb14199651d,5e4e6b3a222ebe65c2ed89e8ce2d98a9ce31043235417bee9d166cb14199651d,5e4e6b3a222ebe65c2ed89e8ce2d98a9ce31043235417bee9d166cb14199651d,5e4e6b3a222ebe65c2ed89e8ce2d98a9ce31043235417bee9d166cb14199651d,true,true,8ff274b267e61c197c85eec3a4dbc2cb090ac790,true,true,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_contract_v1/covapie_admit_015_formal_evaluator_routing_and_consumption_contract.csv,committed_csv,100644,a0c586281e96f063f67d7c47c1a0b8336a73cb0841b283ca1de64f30fe60cf66,a0c586281e96f063f67d7c47c1a0b8336a73cb0841b283ca1de64f30fe60cf66,a0c586281e96f063f67d7c47c1a0b8336a73cb0841b283ca1de64f30fe60cf66,a0c586281e96f063f67d7c47c1a0b8336a73cb0841b283ca1de64f30fe60cf66,true,true,948c65edf6d62d62279e326590c2e153f3b48551,true,true,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_contract_v1/covapie_admit_015_formal_evaluator_interface_truth_matrix.csv,committed_csv,100644,7b09b3c917e4bbc7d140daafa99a9b6a34584ce3a008e9f0193db804c57b4885,7b09b3c917e4bbc7d140daafa99a9b6a34584ce3a008e9f0193db804c57b4885,7b09b3c917e4bbc7d140daafa99a9b6a34584ce3a008e9f0193db804c57b4885,7b09b3c917e4bbc7d140daafa99a9b6a34584ce3a008e9f0193db804c57b4885,true,true,3a6002dd4684791f06026499721468d3d05d3b14,true,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_contract_v1/covapie_admit_015_formal_evaluator_interface_source_boundary_audit.csv,committed_csv,100644,1725691b3659f4c166289cce17999caa7c13e172199d6df612fe11cf6f38fb43,1725691b3659f4c166289cce17999caa7c13e172199d6df612fe11cf6f38fb43,1725691b3659f4c166289cce17999caa7c13e172199d6df612fe11cf6f38fb43,1725691b3659f4c166289cce17999caa7c13e172199d6df612fe11cf6f38fb43,true,true,da9079d713adfa936159632a067ad0ebfedf4aa0,true,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_contract_v1/covapie_admit_015_formal_evaluator_interface_issue_readiness_inventory.csv,committed_csv,100644,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,true,true,f323dae10ae7017c96e8f94494d611392c0e1bdc,true,true,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_contract_v1/covapie_admit_015_formal_evaluator_interface_contract_manifest.json,committed_manifest,100644,08ce241290c66e87881c983a563be9f406d904c39e99bd9c6830c78fc3b4b021,08ce241290c66e87881c983a563be9f406d904c39e99bd9c6830c78fc3b4b021,08ce241290c66e87881c983a563be9f406d904c39e99bd9c6830c78fc3b4b021,08ce241290c66e87881c983a563be9f406d904c39e99bd9c6830c78fc3b4b021,true,true,7ebf246437ce9c898a8e806179838cf0f0b459c3,true,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_training_authorization_contract_v1/covapie_admit_015_training_authorization_contract_manifest.json,committed_manifest,100644,16ea4bb5f781c6f6d8277fb4142258c2bee4849b942582e48692373caee5cda1,16ea4bb5f781c6f6d8277fb4142258c2bee4849b942582e48692373caee5cda1,16ea4bb5f781c6f6d8277fb4142258c2bee4849b942582e48692373caee5cda1,16ea4bb5f781c6f6d8277fb4142258c2bee4849b942582e48692373caee5cda1,true,true,d7a01269a1fceff7eed2aa34eb0bbcd88a47b17c,true,true,true,true,true,true,true,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_015_formal_evaluator_interface_precondition_inventory.csv,committed_csv,100644,c52287ac5a435e58a400be0e33e17c1096b7b0d3b2671be0398a6be03e409839,c52287ac5a435e58a400be0e33e17c1096b7b0d3b2671be0398a6be03e409839,c52287ac5a435e58a400be0e33e17c1096b7b0d3b2671be0398a6be03e409839,c52287ac5a435e58a400be0e33e17c1096b7b0d3b2671be0398a6be03e409839,true,true,fa9af90c3e47160d9fa7268b4dc4695263cd9588,true,true,true,true,true,true,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_015_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_015_formal_evaluator_interface_preconditions_manifest.json,committed_manifest,100644,7f64389a018c9bc1170ffeb94d1f393aefc27f67edef1d85143659f43dc8d729,7f64389a018c9bc1170ffeb94d1f393aefc27f67edef1d85143659f43dc8d729,7f64389a018c9bc1170ffeb94d1f393aefc27f67edef1d85143659f43dc8d729,7f64389a018c9bc1170ffeb94d1f393aefc27f67edef1d85143659f43dc8d729,true,true,c8617ff10dbdf10679e41920bc9e4124e98bd7fc,true,true,true,true,true,true,true,true
11,src/covalent_ext/covapie_bulk_download_admission_admit_014_rule_logic_interface.py,python_source,100644,5f0766a4eb9dac8b00b9729b7d593adfbe105fb212eabbd4e0a3e349b35f7399,5f0766a4eb9dac8b00b9729b7d593adfbe105fb212eabbd4e0a3e349b35f7399,5f0766a4eb9dac8b00b9729b7d593adfbe105fb212eabbd4e0a3e349b35f7399,5f0766a4eb9dac8b00b9729b7d593adfbe105fb212eabbd4e0a3e349b35f7399,true,true,3e9dae138a09fc9b1beef2e4be11110f9e8af5d8,true,true,true,true,true,true,true,true
12,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_rule_logic_interface_v1/covapie_admit_014_rule_logic_interface_manifest.json,committed_manifest,100644,f1266a2a471ddac3a0966951ff681b19ebd7d2725ff8242942a9365f92f7e056,f1266a2a471ddac3a0966951ff681b19ebd7d2725ff8242942a9365f92f7e056,f1266a2a471ddac3a0966951ff681b19ebd7d2725ff8242942a9365f92f7e056,f1266a2a471ddac3a0966951ff681b19ebd7d2725ff8242942a9365f92f7e056,true,true,ac5d9a9ad415b7f068fe1fbf67e4b2fe6d48a9ce,true,true,true,true,true,true,true,true
13,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,committed_manifest,100644,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,true,true,02f9baf39f99d41ae0dfbe384f850a2c5510f3f2,true,true,true,true,true,true,true,true
