contract_order,contract_group,item_order,item_name,frozen_value,implementation_observed,contract_passed
1,production_public_api,1,function_name,aggregate_admission_rule_evaluations,aggregate_admission_rule_evaluations,true
2,production_public_api,2,signature,"aggregate_admission_rule_evaluations(scope_id: str, *, ordered_rule_evaluations: tuple[UnifiedAdmissionRuleEvaluation, ...]) -> CombinedAdmissionCandidateVerdict","aggregate_admission_rule_evaluations(scope_id: str, *, ordered_rule_evaluations: tuple[UnifiedAdmissionRuleEvaluation, ...]) -> CombinedAdmissionCandidateVerdict",true
3,production_public_api,3,scope_parameter_kind,positional_or_keyword,positional_or_keyword,true
4,production_public_api,4,ordered_vector_parameter_kind,keyword_only,keyword_only,true
5,production_public_api,5,defaults,none,none,true
6,production_public_api,6,var_positional,forbidden,forbidden,true
7,production_public_api,7,var_keyword,forbidden,forbidden,true
8,production_public_api,8,candidate_parameter,forbidden,forbidden,true
9,production_public_api,9,context_parameter,forbidden,forbidden,true
10,production_public_api,10,dispatcher_injection,forbidden,forbidden,true
11,production_public_api,11,registry_injection,forbidden,forbidden,true
12,production_public_api,12,override_fallback,forbidden,forbidden,true
13,production_public_api,13,input_runtime_type,UnifiedAdmissionRuleEvaluation,UnifiedAdmissionRuleEvaluation,true
14,production_public_api,14,output_runtime_type,CombinedAdmissionCandidateVerdict,CombinedAdmissionCandidateVerdict,true
15,production_public_api,15,dispatcher_calls,0,0,true
16,production_public_api,16,handler_calls,0,0,true
17,production_public_api,17,aggregation_io,false,false,true
18,production_public_api,18,production_implementation_present,true,true,true
19,production_result_contract,1,schema_version,str,str,true
20,production_result_contract,2,scope_id,str,str,true
21,production_result_contract,3,outcome,str,str,true
22,production_result_contract,4,passed,bool,bool,true
23,production_result_contract,5,blocks_scope_action,bool,bool,true
24,production_result_contract,6,reason,str,str,true
25,production_result_contract,7,required_rule_ids,"tuple[str,...]","tuple[str,...]",true
26,production_result_contract,8,evaluated_rule_ids,"tuple[str,...]","tuple[str,...]",true
27,production_result_contract,9,rule_evaluations,"tuple[UnifiedAdmissionRuleEvaluation,...]","tuple[UnifiedAdmissionRuleEvaluation,...]",true
28,production_result_contract,10,invalid_rule_ids,"tuple[str,...]","tuple[str,...]",true
29,production_result_contract,11,blocked_rule_ids,"tuple[str,...]","tuple[str,...]",true
30,production_result_contract,12,failing_rule_ids,"tuple[str,...]","tuple[str,...]",true
31,production_result_contract,13,aggregation_io_used,bool,bool,true
32,reason_vocabulary,1,reason_1,COMBINED_ADMISSION_SCOPE_ID_INVALID,COMBINED_ADMISSION_SCOPE_ID_INVALID,true
33,reason_vocabulary,2,reason_2,COMBINED_ADMISSION_RULE_EVALUATION_VECTOR_TYPE_INVALID,COMBINED_ADMISSION_RULE_EVALUATION_VECTOR_TYPE_INVALID,true
34,reason_vocabulary,3,reason_3,COMBINED_ADMISSION_RULE_EVALUATION_INVARIANT_INVALID,COMBINED_ADMISSION_RULE_EVALUATION_INVARIANT_INVALID,true
35,reason_vocabulary,4,reason_4,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,true
36,reason_vocabulary,5,reason_5,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,true
37,reason_vocabulary,6,reason_6,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,true
