case_order,case_id,case_group,scope_id_representation,vector_type,observed_rule_ids,observed_states,expected_outcome,observed_outcome,expected_passed,observed_passed,expected_blocks_action,observed_blocks_action,expected_reason,observed_reason,required_rule_ids,failing_rule_ids,design_io_used,current_permission,authorized_execution_count,case_passed
1,download_execution_permission__all_pass,canonical_all_pass,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,passed,passed,true,true,false,false,,,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,false,false,0,true
2,download_execution_permission__ADMIT_001__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001,false,false,0,true
3,download_execution_permission__ADMIT_001__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001,false,false,0,true
4,download_execution_permission__ADMIT_002__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_002,false,false,0,true
5,download_execution_permission__ADMIT_002__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_002,false,false,0,true
6,download_execution_permission__ADMIT_003__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|blocked|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_003,false,false,0,true
7,download_execution_permission__ADMIT_003__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|invalid|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_003,false,false,0,true
8,download_execution_permission__ADMIT_004__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|blocked|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_004,false,false,0,true
9,download_execution_permission__ADMIT_004__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|invalid|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_004,false,false,0,true
10,download_execution_permission__ADMIT_005__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|blocked|passed|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_005,false,false,0,true
