source_order,source_relative_path,source_kind,boundary_necessity,tracked,base_tree_blob,filesystem_regular,non_symlink,expected_sha256,base_tree_sha256,filesystem_sha256,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit.py,py,normative predecessor evidence,true,true,true,true,fabac801a86d3b5e31298e3ad29e2e51d72a3cef46cfb28e5a25a5c3c8d6f3d3,fabac801a86d3b5e31298e3ad29e2e51d72a3cef46cfb28e5a25a5c3c8d6f3d3,fabac801a86d3b5e31298e3ad29e2e51d72a3cef46cfb28e5a25a5c3c8d6f3d3,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_formal_evaluator_preconditions_manifest.json,json,normative predecessor evidence,true,true,true,true,16b787061739dd0d68cfd3f66829a7690e802d1c0fa700d53155384b29c6dac5,16b787061739dd0d68cfd3f66829a7690e802d1c0fa700d53155384b29c6dac5,16b787061739dd0d68cfd3f66829a7690e802d1c0fa700d53155384b29c6dac5,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_evaluator_precondition_matrix.csv,csv,normative predecessor evidence,true,true,true,true,34073fad616472a9a8044cd21f498f33d535251e92b1ce7b549c1ad5dbf018ed,34073fad616472a9a8044cd21f498f33d535251e92b1ce7b549c1ad5dbf018ed,34073fad616472a9a8044cd21f498f33d535251e92b1ce7b549c1ad5dbf018ed,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_field_occurrence_inventory.csv,csv,normative predecessor evidence,true,true,true,true,bf7a705ffecb0dde8d7b62e6e6c15756614de358401d7055defb82711ce20660,bf7a705ffecb0dde8d7b62e6e6c15756614de358401d7055defb82711ce20660,bf7a705ffecb0dde8d7b62e6e6c15756614de358401d7055defb82711ce20660,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_observed_evidence_value_inventory.csv,csv,normative predecessor evidence,true,true,true,true,44698a4796be10cc317931df31da4829bccb23eaa95ed23d9797537f5a5feacc,44698a4796be10cc317931df31da4829bccb23eaa95ed23d9797537f5a5feacc,44698a4796be10cc317931df31da4829bccb23eaa95ed23d9797537f5a5feacc,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_issue_readiness_inventory.csv,csv,normative predecessor evidence,true,true,true,true,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,true
7,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,py,normative predecessor evidence,true,true,true,true,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,true
8,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,csv,normative predecessor evidence,true,true,true,true,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,true
9,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,csv,normative predecessor evidence,true,true,true,true,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,true
10,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,csv,normative predecessor evidence,true,true,true,true,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,true
11,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,csv,normative predecessor evidence,true,true,true,true,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,true
12,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005.py,py,normative predecessor evidence,true,true,true,true,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,true
