safety_item,required_status,observed_status,safety_passed,blocking_reason
network,false,false,true,
external_registry,false,false,true,
raw_directory_traversal,false,false,true,
raw_lstat_stat,false,false,true,
raw_read,false,false,true,
raw_hash,false,false,true,
raw_parse,false,false,true,
checkpoint,false,false,true,
p5b_parser,false,false,true,
p4_provider,false,false,true,
real_provider_rows,false,false,true,
admission_modification,false,false,true,
queue_download,false,false,true,
torch,false,false,true,
numpy,false,false,true,
model_forward,false,false,true,
loss,false,false,true,
training,false,false,true,
historical_metadata_sources_read,true,true,true,
tracked_metadata_sources_hashed,true,true,true,
