contract_item_id,contract_area,requirement,expected_value,observed_value,contract_passed,blocking_reason
P6C_C001,source,exact source input count,11,11,true,
P6C_C002,source,source structural checks before content read,11,11,true,
P6C_C003,source,source content reads from validated paths,11,11,true,
P6C_C004,source,source hashes exact,11,11,true,
P6C_C005,predecessor,P6-B direct evidence valid,true,true,true,
P6C_C006,binding,P6-A binding shape,11x26,11x26,true,
P6C_C007,binding,P6-B matrix shape,11x31,11x31,true,
P6C_C008,binding,exact ordered full identity joins,11,11,true,
P6C_C009,raw,secure same-bytes raw reads,11,11,true,
P6C_C010,raw,raw SHA matches,11,11,true,
P6C_C011,raw,raw size matches,11,11,true,
P6C_C012,decode,strict UTF-8 decode count,11,11,true,
P6C_C013,parser,struct_conn parse count,11,11,true,
P6C_C014,parser,atom_site parse count,11,11,true,
P6C_C015,selector,unique struct_conn event count,11,11,true,
P6C_C016,selector,unique atom_site row count,11,11,true,
P6C_C017,provider,P4 provider call count,11,11,true,
P6C_C018,output,sidecar exact column count,41,41,true,
P6C_C019,output,sidecar exact row count,11,11,true,
P6C_C020,output,rejected row count,0,0,true,
P6C_C021,output,exported rows count,11,11,true,
P6C_C022,provenance,provider row count,11,11,true,
P6C_C023,provenance,unique source ID count,11,11,true,
P6C_C024,provenance,valid provenance SHA count,11,11,true,
P6C_C025,evidence,evidence audit passed count,11,11,true,
P6C_C026,boundary,admission modification,false,false,true,
P6C_C027,boundary,sample backfill,false,false,true,
P6C_C028,boundary,ADMIT_004 ready,false,false,true,
P6C_C029,boundary,E1 ready,false,false,true,
P6C_C030,boundary,candidate evaluation ready,false,false,true,
P6C_C031,boundary,bulk download ready,false,false,true,
P6C_C032,boundary,training ready,false,false,true,
