safety_item,required_status,observed_status,safety_passed,blocking_reason
exact_source_reads,true,true,true,
p3_schema_validation,true,true,true,
keyed_integration_join,true,true,true,
p2_insertion_validation,true,true,true,
p4_provider_provenance_recomputation,true,true,true,
overlay_materialization,true,true,true,
raw_read,false,false,true,
parser_execution,false,false,true,
raw_directory_scan,false,false,true,
raw_write,false,false,true,
network_access,false,false,true,
download,false,false,true,
admission_modification,false,false,true,
candidate_record_materialization,false,false,true,
sample_backfill,false,false,true,
checkpoint_access,false,false,true,
torch_imported,false,false,true,
numpy_imported,false,false,true,
model_forward,false,false,true,
loss_compute,false,false,true,
training,false,false,true,
