contract_item_id,contract_area,requirement,expected_value,observed_value,contract_passed,blocking_reason
P6B_C001,predecessor,p6b0_stage_and_all_checks,true,true,true,
P6B_C002,source,source_input_count,9,9,true,
P6B_C003,binding,p6a_binding_shape,11x26,11x26,true,
P6B_C004,authority,historical_authority_count,3,3,true,
P6B_C005,authority,expansion_authority_count,8,8,true,
P6B_C006,authority,authority_join_count,11,11,true,
P6B_C007,authority,current_raw_self_certification,false,false,true,
P6B_C008,raw,exact_path_access_only,true,true,true,
P6B_C009,raw,component_nofollow_walk,true,true,true,
P6B_C010,raw,raw_directory_listing,false,false,true,
P6B_C011,raw,regular_fd_count,11,11,true,
P6B_C012,raw,unique_raw_path_count,11,11,true,
P6B_C013,git,untracked_historical_authority_runtime_count,3,3,true,
P6B_C014,git,ignored_expansion_count,8,8,true,
P6B_C015,git,exact_raw_tracked_count,0,0,true,
P6B_C016,git,raw_index_clean_count,11,11,true,
P6B_C017,raw,pre_post_fstat_stable_count,11,11,true,
P6B_C018,raw,path_entry_stable_count,11,11,true,
P6B_C019,raw,sha256_match_count,11,11,true,
P6B_C020,raw,size_match_count,11,11,true,
P6B_C021,raw,passed_count,11,11,true,
P6B_C022,raw,blocked_count,0,0,true,
P6B_C023,execution,p5b_parser_called,false,false,true,
P6B_C024,execution,p4_provider_called,false,false,true,
P6B_C025,samples,existing_real_sample_count,11,11,true,
P6B_C026,samples,real_insertion_unknown_count,11,11,true,
P6B_C027,samples,real_insertion_absence_proven_count,0,0,true,
P6B_C028,readiness,admit_004_ready,false,false,true,
P6B_C029,readiness,e1_ready,false,false,true,
P6B_C030,readiness,candidate_ready,false,false,true,
P6B_C031,readiness,bulk_download_ready,false,false,true,
P6B_C032,readiness,training_ready,false,false,true,
P6B_C033,training,feature_semantics_audit_required,true,true,true,
P6B_C034,mask,canonical_mask_count,5,5,true,
P6B_C035,mask,scaffold_only_b3_present,true,true,true,
P6B_C036,platform,o_nofollow_available,true,true,true,
P6B_C037,platform,o_directory_available,true,true,true,
P6B_C038,platform,o_cloexec_available,true,true,true,
P6B_C039,platform,open_dir_fd_available,true,true,true,
P6B_C040,platform,stat_dir_fd_available,true,true,true,
P6B_C041,raw,raw_stat_current_step,true,true,true,
P6B_C042,raw,raw_read_current_step,true,true,true,
P6B_C043,raw,raw_hash_current_step,true,true,true,
P6B_C044,raw,raw_parse_current_step,false,false,true,
P6B_C045,execution,real_provider_rows_materialized,false,false,true,
P6B_C046,execution,real_samples_backfilled,0,0,true,
P6B_C047,issues,issue_inventory_count,2,2,true,
P6B_C048,blockers,domain_blocker_count,10,10,true,
P6B_C049,readiness,provider_smoke_ready,true,true,true,
P6B_C050,readiness,provider_execution_ready,false,false,true,
