precondition_row_id,binding_row_id,source_pipeline,sample_preparation_input_id,pdb_id,ligand_comp_id,raw_target_relative_path,authority_scope,expected_authority_source_relative_path,expected_authority_row_id,authority_join_status,expected_sha256,expected_file_size_bytes,observed_sha256,observed_file_size_bytes,sha256_matches,file_size_matches,raw_path_exists,raw_path_regular_file,raw_path_symlink,raw_path_confined_without_symlink,raw_path_unique,raw_git_tracking_state,raw_git_worktree_clean,raw_git_index_clean,pre_hash_stat_fingerprint,post_hash_stat_fingerprint,stat_stable,raw_source_precondition_status,ready_for_real_provider_export_execution_smoke,blocking_reason
REAL_RAW_PRECONDITION_000001,REAL_LOCATOR_BINDING_000001,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,historical_committed_consensus,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,HISTORICAL_RAW_AUTHORITY_000001,exact_authority_match,5ca85f5ef727d9bc8c7a8e2254be8169fad6574ecfaa1a40d8feee5af594e65a,810077,5ca85f5ef727d9bc8c7a8e2254be8169fad6574ecfaa1a40d8feee5af594e65a,810077,true,true,true,true,false,true,true,untracked_historical_authority_runtime,true,true,dev=51;ino=4450983133;mode=33204;nlink=1;size=810077;mtime_ns=1783598606000000000;ctime_ns=1784161555484676806,dev=51;ino=4450983133;mode=33204;nlink=1;size=810077;mtime_ns=1783598606000000000;ctime_ns=1784161555484676806,true,passed,true,
REAL_RAW_PRECONDITION_000002,REAL_LOCATOR_BINDING_000002,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_INPUT_000002,6BV8,JUG,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,historical_committed_consensus,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,HISTORICAL_RAW_AUTHORITY_000002,exact_authority_match,a8cd3f5b104906343e7d6d882b85f41ed1ca1a3ad15e0a7b9c77df5987e4fcae,814211,a8cd3f5b104906343e7d6d882b85f41ed1ca1a3ad15e0a7b9c77df5987e4fcae,814211,true,true,true,true,false,true,true,untracked_historical_authority_runtime,true,true,dev=51;ino=4450983134;mode=33204;nlink=1;size=814211;mtime_ns=1783598608000000000;ctime_ns=1784161555492676890,dev=51;ino=4450983134;mode=33204;nlink=1;size=814211;mtime_ns=1783598608000000000;ctime_ns=1784161555492676890,true,passed,true,
REAL_RAW_PRECONDITION_000003,REAL_LOCATOR_BINDING_000003,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_INPUT_000003,6BV5,JUG,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,historical_committed_consensus,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,HISTORICAL_RAW_AUTHORITY_000003,exact_authority_match,78f68b15590fdb114ec45cdc24e42c6b908b061b5b7942ece1027acd302442b8,826313,78f68b15590fdb114ec45cdc24e42c6b908b061b5b7942ece1027acd302442b8,826313,true,true,true,true,false,true,true,untracked_historical_authority_runtime,true,true,dev=51;ino=4450983132;mode=33204;nlink=1;size=826313;mtime_ns=1783598609000000000;ctime_ns=1784161555477676733,dev=51;ino=4450983132;mode=33204;nlink=1;size=826313;mtime_ns=1783598609000000000;ctime_ns=1784161555477676733,true,passed,true,
REAL_RAW_PRECONDITION_000004,REAL_LOCATOR_BINDING_000004,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000001,1AEC,E64,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,expansion_committed_fingerprint,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,FP_000001,exact_authority_match,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,283760,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,283760,true,true,true,true,false,true,true,ignored_runtime,true,true,dev=51;ino=2288011690;mode=33204;nlink=1;size=283760;mtime_ns=1783671667000000000;ctime_ns=1784161564486770968,dev=51;ino=2288011690;mode=33204;nlink=1;size=283760;mtime_ns=1783671667000000000;ctime_ns=1784161564486770968,true,passed,true,
REAL_RAW_PRECONDITION_000005,REAL_LOCATOR_BINDING_000005,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000002,1AIM,ZYA,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,expansion_committed_fingerprint,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,FP_000002,exact_authority_match,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,268208,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,268208,true,true,true,true,false,true,true,ignored_runtime,true,true,dev=51;ino=2288011691;mode=33204;nlink=1;size=268208;mtime_ns=1783671668000000000;ctime_ns=1784161564489770999,dev=51;ino=2288011691;mode=33204;nlink=1;size=268208;mtime_ns=1783671668000000000;ctime_ns=1784161564489770999,true,passed,true,
REAL_RAW_PRECONDITION_000006,REAL_LOCATOR_BINDING_000006,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,expansion_committed_fingerprint,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,FP_000003,exact_authority_match,e4607c28b7741c8495bb78efb9f20af0be4f66e69f04732f1cd2e5adcd257ed2,228535,e4607c28b7741c8495bb78efb9f20af0be4f66e69f04732f1cd2e5adcd257ed2,228535,true,true,true,true,false,true,true,ignored_runtime,true,true,dev=51;ino=2288011692;mode=33204;nlink=1;size=228535;mtime_ns=1783671669000000000;ctime_ns=1784161564492771030,dev=51;ino=2288011692;mode=33204;nlink=1;size=228535;mtime_ns=1783671669000000000;ctime_ns=1784161564492771030,true,passed,true,
REAL_RAW_PRECONDITION_000007,REAL_LOCATOR_BINDING_000007,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000004,1AU4,INP,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,expansion_committed_fingerprint,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,FP_000004,exact_authority_match,13d7897786967a7abe8f574bf6192c4828ec6ae8ecff64f0c0410ce5dd42d12c,227571,13d7897786967a7abe8f574bf6192c4828ec6ae8ecff64f0c0410ce5dd42d12c,227571,true,true,true,true,false,true,true,ignored_runtime,true,true,dev=51;ino=2288011693;mode=33204;nlink=1;size=227571;mtime_ns=1783671670000000000;ctime_ns=1784161564494771051,dev=51;ino=2288011693;mode=33204;nlink=1;size=227571;mtime_ns=1783671670000000000;ctime_ns=1784161564494771051,true,passed,true,
REAL_RAW_PRECONDITION_000008,REAL_LOCATOR_BINDING_000008,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000005,1AYU,INA,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,expansion_committed_fingerprint,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,FP_000005,exact_authority_match,7a50b94adc96bef4222da8e55e7cdb3e854cdd80015fcf76b3a54f4cbf6a2830,230527,7a50b94adc96bef4222da8e55e7cdb3e854cdd80015fcf76b3a54f4cbf6a2830,230527,true,true,true,true,false,true,true,ignored_runtime,true,true,dev=51;ino=2288011694;mode=33204;nlink=1;size=230527;mtime_ns=1783671671000000000;ctime_ns=1784161564497771083,dev=51;ino=2288011694;mode=33204;nlink=1;size=230527;mtime_ns=1783671671000000000;ctime_ns=1784161564497771083,true,passed,true,
REAL_RAW_PRECONDITION_000009,REAL_LOCATOR_BINDING_000009,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000006,1AYV,IN6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,expansion_committed_fingerprint,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,FP_000006,exact_authority_match,2da1f39b0d86c6285b06dc226004136356a6d45dc32255ed74505836a305519e,239038,2da1f39b0d86c6285b06dc226004136356a6d45dc32255ed74505836a305519e,239038,true,true,true,true,false,true,true,ignored_runtime,true,true,dev=51;ino=2288011695;mode=33204;nlink=1;size=239038;mtime_ns=1783671672000000000;ctime_ns=1784161564499771104,dev=51;ino=2288011695;mode=33204;nlink=1;size=239038;mtime_ns=1783671672000000000;ctime_ns=1784161564499771104,true,passed,true,
REAL_RAW_PRECONDITION_000010,REAL_LOCATOR_BINDING_000010,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000007,1AYW,IN3,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,expansion_committed_fingerprint,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,FP_000007,exact_authority_match,e8402436f23cbccc6317342c5a2f0ffb01acb0ced0ed29df5f6029e9fabcb07d,236287,e8402436f23cbccc6317342c5a2f0ffb01acb0ced0ed29df5f6029e9fabcb07d,236287,true,true,true,true,false,true,true,ignored_runtime,true,true,dev=51;ino=2288011696;mode=33204;nlink=1;size=236287;mtime_ns=1783671672000000000;ctime_ns=1784161564501771124,dev=51;ino=2288011696;mode=33204;nlink=1;size=236287;mtime_ns=1783671672000000000;ctime_ns=1784161564501771124,true,passed,true,
