safety_item,expected_executed,observed_executed,safety_passed
exact16_source_verification,true,true,true
phase4_handler_identity_reuse,true,true,true
successor_registry_construction,true,true,true
admit_005_adapter_implementation,true,true,true
candidate_projection,true,true,true
context_routing,true,true,true
formal_source_prevalidation,true,true,true
independent_oracle_equivalence,true,true,true
exact13_construction,true,true,true
synthetic_runtime_truth,true,true,true
coverage_issue_update,true,true,true
phase4_source_modification,false,false,true
standalone_source_modification,false,false,true
adapter_design_source_modification,false,false,true
admit_006_implementation,false,false,true
evaluate_all_rules,false,false,true
combined_verdict,false,false,true
cross_rule_aggregation,false,false,true
real_candidate_evaluation,false,false,true
exact11_real_evaluation,false,false,true
raw_provider_parser,false,false,true
network_download,false,false,true
checkpoint,false,false,true
torch_numpy_rdkit,false,false,true
model_forward_loss_training,false,false,true
