rule_id,rule_name,known_rule,callable_discovered,adapter_ready,registered,adapter_id,handler_identity_status,dispatch_disposition,audit_passed
ADMIT_001,unique_candidate_identity,true,true,true,true,covapie_admit_001_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_002,valid_pdb_id_format,true,true,true,true,covapie_admit_002_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_003,ligand_or_het_identity_present,true,true,true,true,covapie_admit_003_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_004,covalent_residue_identity_present,true,true,true,true,covapie_admit_004_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_005,cys_sg_scope_only_v1,true,true,true,true,covapie_admit_005_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_006,explicit_covalent_event_evidence,true,true,true,true,covapie_admit_006_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_007,distance_only_inference_forbidden,true,true,true,true,covapie_admit_007_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_008,topology_restoration_disposition,true,true,true,true,covapie_admit_008_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_009,duplicate_identity_precheck,true,true,true,true,covapie_admit_009_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_010,leakage_group_assignment_before_split,true,true,true,true,covapie_admit_010_unified_adapter_v1,reused_predecessor_handler_identity,registered_local_handler,true
ADMIT_011,raw_overwrite_forbidden,true,true,true,true,covapie_admit_011_unified_adapter_v1,exact_new_admit011_handler,registered_local_handler,true
ADMIT_012,,true,false,false,false,,not_registered,not_registered,true
ADMIT_013,,true,false,false,false,,not_registered,not_registered,true
ADMIT_014,,true,false,false,false,,not_registered,not_registered,true
ADMIT_015,,true,false,false,false,,not_registered,not_registered,true
