admission_rule_id,admission_rule_name,evaluation_phase,candidate_field_dependencies,batch_context_dependencies,evaluation_context_dependencies,download_result_context_dependencies,stage_authorization_context_dependencies,evaluator_callable_name,evaluator_source_path,callable_discovered,evaluator_result_type,result_adapter_contract_status,engine_registration_status,allowed_rule_outcomes,routing_disposition,blocking_reason
ADMIT_001,unique_candidate_identity,pre_download,candidate_record_id,batch_candidate_record_ids,candidate_record_id_contract,,,evaluate_admit_001_candidate_record_id,src/covalent_ext/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate.py,true,legacy_mutable_dict,unresolved,not_registration_ready,adapter_mapping_unresolved,known_adapter_not_ready_fail_closed,UNIFIED_ADMISSION_LEGACY_EVALUATOR_ADAPTER_SEMANTICS_UNRESOLVED
ADMIT_002,valid_pdb_id_format,pre_download,pdb_id,,pdb_id_format_contract,,,evaluate_admit_002_pdb_identifier,src/covalent_ext/covapie_bulk_download_admission_pdb_identifier_semantics_integration_gate.py,true,legacy_mutable_dict,unresolved,not_registration_ready,adapter_mapping_unresolved,known_adapter_not_ready_fail_closed,UNIFIED_ADMISSION_LEGACY_EVALUATOR_ADAPTER_SEMANTICS_UNRESOLVED
ADMIT_003,ligand_or_het_identity_present,pre_download,ligand_comp_id,,ligand_comp_id_contract,,,evaluate_admit_003_ligand_comp_id,src/covalent_ext/covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate.py,true,legacy_mutable_dict,unresolved,not_registration_ready,adapter_mapping_unresolved,known_adapter_not_ready_fail_closed,UNIFIED_ADMISSION_LEGACY_EVALUATOR_ADAPTER_SEMANTICS_UNRESOLVED
ADMIT_004,covalent_residue_identity_present,pre_download,covalent_residue_name|covalent_residue_chain_id|covalent_residue_index|covalent_residue_atom_name|covalent_residue_locator_namespace|covalent_residue_insertion_code_state|covalent_residue_insertion_code|covalent_residue_locator_provenance_source_id|covalent_residue_locator_provenance_sha256,,covalent_residue_identity_contract|covalent_residue_identity_evidence_context,,,evaluate_admit_004,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,true,Admit004EvaluationResult,design_ready,ready_for_minimal_dispatch_shell_registration,passed|blocked|invalid,ready_for_minimal_dispatch_shell_registration,
ADMIT_005,cys_sg_scope_only_v1,pre_download,covalent_residue_name|covalent_residue_atom_name,,,,,,,false,,not_available,unsupported,passed|rejected|invalid,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_006,explicit_covalent_event_evidence,pre_download,covalent_event_evidence_source,,allowed_covalent_evidence_classes,,,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_007,distance_only_inference_forbidden,pre_download,covalent_event_evidence_source,,allowed_covalent_evidence_classes,,,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_008,topology_restoration_disposition,pre_download,topology_restoration_disposition,,allowed_topology_restoration_dispositions,,,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_009,duplicate_identity_precheck,pre_download,duplicate_identity_key,batch_duplicate_identity_keys,duplicate_identity_key_contract,,,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_010,leakage_group_assignment_before_split,pre_final_split,leakage_group_id,,leakage_group_assignment_provenance_contract,,,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_011,raw_overwrite_forbidden,pre_download,raw_target_relative_path,,existing_raw_target_relative_paths|raw_target_relative_path_contract,,,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_012,future_download_integrity_fields_required,post_download,,,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_013,download_failure_fail_closed,post_download,,,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_014,current_gate_grants_no_download_permission,current_step,,,,,current_step|current_stage_download_authorized,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
ADMIT_015,current_gate_grants_no_training_permission,current_step,,,,,current_step|current_stage_training_authorized,,,false,,not_available,unsupported,unresolved,known_unsupported_fail_closed,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE
