contract_order,contract_area,contract_item,contract_value,contract_status
1,public_api,conceptual_signature,"evaluate_admission_rule(admission_rule_id: str, candidate_record: Mapping[str, object], *, batch_context: Mapping[str, object] | None = None, evaluation_context: Mapping[str, object] | None = None, download_result_context: Mapping[str, object] | None = None, stage_authorization_context: Mapping[str, object] | None = None) -> UnifiedAdmissionRuleEvaluation",frozen
2,public_api,dispatch_cardinality,single_rule_only,frozen
3,public_api,evaluate_all_rules,not_provided,frozen
4,public_api,combined_candidate_verdict,not_generated,frozen
5,public_api,cross_phase_aggregation,not_performed,frozen
6,context,engine_context_behavior,pass_through_explicit_context_only,frozen
7,context,provider_evidence_construction,forbidden,frozen
8,context,engine_filesystem_access,forbidden,frozen
9,context,engine_network_access,forbidden,frozen
10,context,undeclared_candidate_field_consumption,forbidden,frozen
11,dispatch_failure,exception_type,UnifiedAdmissionDispatchError,frozen
12,dispatch_error_field,code,str,frozen
13,dispatch_error_field,admission_rule_id,str,frozen
14,dispatch_error_field,known_rule,bool,frozen
15,dispatch_error_field,callable_discovered,bool,frozen
16,dispatch_error_field,adapter_ready,bool,frozen
17,dispatch_error_field,reason,str,frozen
18,dispatch_error_code,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,frozen
19,dispatch_error_code,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,frozen
20,dispatch_error_code,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,frozen
21,dispatch_error_code,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,frozen
22,dispatch_error_code,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,frozen
23,dispatch_failure,unknown_vs_known_unsupported,distinct,frozen
24,dispatch_failure,known_unsupported_default_passed,forbidden,frozen
25,dispatch_failure,unready_adapter_legacy_dict_return,forbidden,frozen
26,dispatch_failure,invalid_or_missing_context_invokes_evaluator,false,frozen
27,dispatch_failure,dispatch_error_candidate_aggregation,excluded,frozen
