source_mode,decision_field,expected_value,observed_value,expected_exact_type,observed_exact_type,verified
current_blocked,schema_version,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""",builtins.str,builtins.str,true
current_blocked,outcome,"""blocked""","""blocked""",builtins.str,builtins.str,true
current_blocked,passed,false,false,builtins.bool,builtins.bool,true
current_blocked,blocks_transition,true,true,builtins.bool,builtins.bool,true
current_blocked,reason,"""ACTION_PERMISSION_BRIDGE_ADMIT_014_NOT_PASSED""","""ACTION_PERMISSION_BRIDGE_ADMIT_014_NOT_PASSED""",builtins.str,builtins.str,true
current_blocked,source_scope_id,"""download_execution_permission""","""download_execution_permission""",builtins.str,builtins.str,true
current_blocked,candidate_count,1,1,builtins.int,builtins.int,true
current_blocked,admit_014_outcome,"""blocked""","""blocked""",builtins.str,builtins.str,true
current_blocked,candidate_combined_outcomes,"[""blocked""]","[""blocked""]",builtins.tuple,builtins.tuple,true
current_blocked,call_site_decision_outcome,"""blocked""","""blocked""",builtins.str,builtins.str,true
current_blocked,call_site_decision_reason,"""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""",builtins.str,builtins.str,true
current_blocked,invalid_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
current_blocked,blocked_candidate_indexes,[0],[0],builtins.tuple,builtins.tuple,true
current_blocked,failing_candidate_indexes,[0],[0],builtins.tuple,builtins.tuple,true
current_blocked,source_lineage_verified,true,true,builtins.bool,builtins.bool,true
current_blocked,transition_eligible,false,false,builtins.bool,builtins.bool,true
current_blocked,action_permission_granted,false,false,builtins.bool,builtins.bool,true
current_blocked,download_action_invoked,false,false,builtins.bool,builtins.bool,true
current_blocked,bridge_io_used,false,false,builtins.bool,builtins.bool,true
future_eligible,schema_version,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""",builtins.str,builtins.str,true
future_eligible,outcome,"""eligible""","""eligible""",builtins.str,builtins.str,true
future_eligible,passed,true,true,builtins.bool,builtins.bool,true
future_eligible,blocks_transition,false,false,builtins.bool,builtins.bool,true
future_eligible,reason,"""ACTION_PERMISSION_BRIDGE_TRANSITION_ELIGIBLE""","""ACTION_PERMISSION_BRIDGE_TRANSITION_ELIGIBLE""",builtins.str,builtins.str,true
future_eligible,source_scope_id,"""download_execution_permission""","""download_execution_permission""",builtins.str,builtins.str,true
future_eligible,candidate_count,1,1,builtins.int,builtins.int,true
future_eligible,admit_014_outcome,"""passed""","""passed""",builtins.str,builtins.str,true
future_eligible,candidate_combined_outcomes,"[""passed""]","[""passed""]",builtins.tuple,builtins.tuple,true
future_eligible,call_site_decision_outcome,"""blocked""","""blocked""",builtins.str,builtins.str,true
future_eligible,call_site_decision_reason,"""BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED""","""BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED""",builtins.str,builtins.str,true
future_eligible,invalid_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
future_eligible,blocked_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
future_eligible,failing_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
future_eligible,source_lineage_verified,true,true,builtins.bool,builtins.bool,true
future_eligible,transition_eligible,true,true,builtins.bool,builtins.bool,true
future_eligible,action_permission_granted,false,false,builtins.bool,builtins.bool,true
future_eligible,download_action_invoked,false,false,builtins.bool,builtins.bool,true
future_eligible,bridge_io_used,false,false,builtins.bool,builtins.bool,true
