contract_area,contract_item,expected,observed,verified
api,__all__,BulkDownloadStageOrchestrationActionPermissionBridgeDecisionDesign|evaluate_bulk_download_stage_orchestration_action_permission_bridge,BulkDownloadStageOrchestrationActionPermissionBridgeDecisionDesign|evaluate_bulk_download_stage_orchestration_action_permission_bridge,true
api,function_name,evaluate_bulk_download_stage_orchestration_action_permission_bridge,evaluate_bulk_download_stage_orchestration_action_permission_bridge,true
api,parameter_order,orchestration_result|call_site_decision,orchestration_result|call_site_decision,true
api,required_keyword_only,true,true,true
api,no_variadic,true,true,true
api,exact_annotations,StageAdmissionOrchestrationResult|BulkDownloadStageOrchestrationCallSiteDecisionDesign|BulkDownloadStageOrchestrationActionPermissionBridgeDecisionDesign,StageAdmissionOrchestrationResult|BulkDownloadStageOrchestrationCallSiteDecisionDesign|BulkDownloadStageOrchestrationActionPermissionBridgeDecisionDesign,true
identity,shared_exact19_class,true,true,true
delegation,design_classifier_called,false,false,true
delegation,design_private_helpers_called,false,false,true
delegation,predecessor_private_helpers_called,false,false,true
delegation,design_alias_assignment,false,false,true
boundary,forbidden_import_present,false,false,true
boundary,io_builtin_called,false,false,true
reason,reason_11_reserved,true,true,true
reason,reason_11_branch_reachable,false,false,true
boundary,action_permission,false,false,true
boundary,download_action,false,false,true
boundary,bridge_io,false,false,true
