contract_area,contract_order,contract_item,expected,observed,verified
public_api,1,function_name,classify_bulk_download_stage_orchestration_call_site_contract_design,classify_bulk_download_stage_orchestration_call_site_contract_design,true
public_api,2,parameter_names,orchestration_result|orchestration_error,orchestration_result|orchestration_error,true
public_api,3,required_keyword_only_count,2,2,true
public_api,4,positional_parameter_count,0,0,true
public_api,5,variadic_parameter_count,0,0,true
public_api,6,future_runtime_callable_present,False,False,true
decision,7,frozen_dataclass,True,True,true
decision,8,schema,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,true
decision,9,field_count,15,15,true
decision_field,10,01,schema_version,schema_version,true
decision_field,11,02,outcome,outcome,true
decision_field,12,03,passed,passed,true
decision_field,13,04,blocks_download,blocks_download,true
decision_field,14,05,reason,reason,true
decision_field,15,06,source_kind,source_kind,true
decision_field,16,07,source_scope_id,source_scope_id,true
decision_field,17,08,source_error_code,source_error_code,true
decision_field,18,09,candidate_count,candidate_count,true
decision_field,19,10,invalid_candidate_indexes,invalid_candidate_indexes,true
decision_field,20,11,blocked_candidate_indexes,blocked_candidate_indexes,true
decision_field,21,12,failing_candidate_indexes,failing_candidate_indexes,true
decision_field,22,13,action_permission_granted,action_permission_granted,true
decision_field,23,14,download_action_invoked,download_action_invoked,true
decision_field,24,15,call_site_io_used,call_site_io_used,true
vocabulary,25,outcome,authorized|blocked|invalid,authorized|blocked|invalid,true
vocabulary,26,source_kind,invalid_input|orchestration_error|orchestration_result,invalid_input|orchestration_error|orchestration_result,true
vocabulary,27,reason,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID|BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID|BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID|BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID|BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED|BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID|BULK_DOWNLOAD_STAGE_SCOPE_INVALID|BULK_DOWNLOAD_STAGE_IO_INVARIANT_INVALID|BULK_DOWNLOAD_ACTION_PERMISSION_TRANSITION_UNAUTHORIZED|BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID|BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED|BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID|BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID|BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID|BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID|BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED|BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID|BULK_DOWNLOAD_STAGE_SCOPE_INVALID|BULK_DOWNLOAD_STAGE_IO_INVARIANT_INVALID|BULK_DOWNLOAD_ACTION_PERMISSION_TRANSITION_UNAUTHORIZED|BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID|BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED|BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED,true
vocabulary,28,orchestration_error_code,STAGE_ORCHESTRATION_SCOPE_ID_INVALID|STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID|STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID|STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID|STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID|STAGE_ORCHESTRATION_DISPATCH_ERROR|STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID|STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,STAGE_ORCHESTRATION_SCOPE_ID_INVALID|STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID|STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID|STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID|STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID|STAGE_ORCHESTRATION_DISPATCH_ERROR|STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID|STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,true
vocabulary,29,scope,download_execution_permission|post_download_acceptance_permission|pre_final_split_acceptance_permission|training_execution_admission_permission,download_execution_permission|post_download_acceptance_permission|pre_final_split_acceptance_permission|training_execution_admission_permission,true
semantic_contract,30,exact_one_of_inputs,True,True,true
semantic_contract,31,result_is_diagnostic_not_authorization,True,True,true
semantic_contract,32,error_never_rethrown,True,True,true
semantic_contract,33,candidate_invalid_precedes_blocked,True,True,true
semantic_contract,34,candidate_blocked_precedes_permission_not_granted,True,True,true
semantic_contract,35,action_permission_true_currently_invalid,True,True,true
semantic_contract,36,authorized_branch_currently_unreachable,True,True,true
semantic_contract,37,download_action_always_not_invoked,True,True,true
semantic_contract,38,call_site_io_always_not_used,True,True,true
