contract_area,contract_order,contract_item,expected,observed,verified
public_api,1,__all__,"('BulkDownloadStageOrchestrationCallSiteDecisionDesign', 'evaluate_bulk_download_stage_orchestration_call_site')","('BulkDownloadStageOrchestrationCallSiteDecisionDesign', 'evaluate_bulk_download_stage_orchestration_call_site')",true
public_api,2,function_name,evaluate_bulk_download_stage_orchestration_call_site,evaluate_bulk_download_stage_orchestration_call_site,true
public_api,3,parameter_names,"('orchestration_result', 'orchestration_error')","('orchestration_result', 'orchestration_error')",true
public_api,4,required_keyword_only_count,2,2,true
public_api,5,positional_parameter_count,0,0,true
public_api,6,variadic_parameter_count,0,0,true
public_api,7,result_annotation,<class 'covalent_ext.covapie_bulk_download_stage_orchestration_fail_closed_call_site_contract_design_gate.BulkDownloadStageOrchestrationCallSiteDecisionDesign'>,<class 'covalent_ext.covapie_bulk_download_stage_orchestration_fail_closed_call_site_contract_design_gate.BulkDownloadStageOrchestrationCallSiteDecisionDesign'>,true
public_api,8,result_annotation,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationResult | None,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationResult | None,true
public_api,9,error_annotation,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError | None,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError | None,true
identity,10,shared_result_class,<class 'covalent_ext.covapie_bulk_download_stage_orchestration_fail_closed_call_site_contract_design_gate.BulkDownloadStageOrchestrationCallSiteDecisionDesign'>,<class 'covalent_ext.covapie_bulk_download_stage_orchestration_fail_closed_call_site_contract_design_gate.BulkDownloadStageOrchestrationCallSiteDecisionDesign'>,true
decision,11,field_count,15,15,true
decision_field,12,01,schema_version,schema_version,true
decision_field,13,02,outcome,outcome,true
decision_field,14,03,passed,passed,true
decision_field,15,04,blocks_download,blocks_download,true
decision_field,16,05,reason,reason,true
decision_field,17,06,source_kind,source_kind,true
decision_field,18,07,source_scope_id,source_scope_id,true
decision_field,19,08,source_error_code,source_error_code,true
decision_field,20,09,candidate_count,candidate_count,true
decision_field,21,10,invalid_candidate_indexes,invalid_candidate_indexes,true
decision_field,22,11,blocked_candidate_indexes,blocked_candidate_indexes,true
decision_field,23,12,failing_candidate_indexes,failing_candidate_indexes,true
decision_field,24,13,action_permission_granted,action_permission_granted,true
decision_field,25,14,download_action_invoked,download_action_invoked,true
decision_field,26,15,call_site_io_used,call_site_io_used,true
independence,27,runtime_design_classifier_called,False,False,true
independence,28,runtime_design_private_helpers_called,False,False,true
independence,29,runtime_predecessor_checker_imported,False,False,true
independence,30,download_callable_accepted,False,False,true
side_effect,31,call_site_io_used,False,False,true
side_effect,32,download_action_invoked,False,False,true
