case_group,case_id,expected_schema_version,observed_schema_version,expected_outcome,observed_outcome,expected_passed,observed_passed,expected_blocks_download,observed_blocks_download,expected_reason,observed_reason,expected_source_kind,observed_source_kind,expected_source_scope_id,observed_source_scope_id,expected_source_error_code,observed_source_error_code,expected_candidate_count,observed_candidate_count,expected_invalid_candidate_indexes,observed_invalid_candidate_indexes,expected_blocked_candidate_indexes,observed_blocked_candidate_indexes,expected_failing_candidate_indexes,observed_failing_candidate_indexes,expected_action_permission_granted,observed_action_permission_granted,expected_download_action_invoked,observed_download_action_invoked,expected_call_site_io_used,observed_call_site_io_used,exact_decision_type_verified,zero_action_verified,verified
input_cardinality,both_missing,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,invalid_input,invalid_input,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
input_cardinality,both_present,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,invalid_input,invalid_input,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
input_cardinality,result_only,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,1,1,[],[],[0],[0],[0],[0],false,false,false,false,false,false,true,true,true
input_cardinality,error_only,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
type,result_wrong_type,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
type,result_subclass,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
type,error_wrong_type,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
type,error_subclass,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_invariant,error_code,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_invariant,error_scope_type,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
