allowlist_field,field_order,field_description,required_for_future_allowlist,source_field_or_policy,materialization_status,training_use_status,allowlist_schema_contract_passed
allowlist_entry_id,1,future allowlist field allowlist_entry_id,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
candidate_metadata_id,2,future allowlist field candidate_metadata_id,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
project_name,3,future allowlist field project_name,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
source_name,4,future allowlist field source_name,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
source_database,5,future allowlist field source_database,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
source_stage,6,future allowlist field source_stage,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
pdb_id,7,future allowlist field pdb_id,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
het_code,8,future allowlist field het_code,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
chain_id,9,future allowlist field chain_id,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
residue_name,10,future allowlist field residue_name,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
residue_index,11,future allowlist field residue_index,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
residue_atom_name,12,future allowlist field residue_atom_name,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
ligand_atom_name,13,future allowlist field ligand_atom_name,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
covalent_bond_atom_pair,14,future allowlist field covalent_bond_atom_pair,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
event_key_resolution_status,15,future allowlist field event_key_resolution_status,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
candidate_metadata_qa_status,16,future allowlist field candidate_metadata_qa_status,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
allowlist_entry_status,17,future allowlist field allowlist_entry_status,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
allowlist_reason,18,future allowlist field allowlist_reason,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
unresolved_exclusion_status,19,future allowlist field unresolved_exclusion_status,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
manual_review_required,20,future allowlist field manual_review_required,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
raw_file_path_policy,21,future allowlist field raw_file_path_policy,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
raw_file_tracked_policy,22,future allowlist field raw_file_tracked_policy,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
feature_semantics_audit_required_before_training,23,future allowlist field feature_semantics_audit_required_before_training,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
leakage_split_design_required_before_training,24,future allowlist field leakage_split_design_required_before_training,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
ready_for_training,25,future allowlist field ready_for_training,True,candidate_metadata_smoke_or_policy_value,design_only_not_materialized,not_training_input_yet,True
