stage,previous_stage,section,status,evidence,blocking_reasons,recommended_next_step
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,step13ag_precondition,passed,"{""rows"": 7}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,input_discovery,passed,"{""materialization_status"": ""blocked_due_to_missing_explicit_metadata"", ""rows"": 1}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,schema_audit,passed,"{""rows"": 15}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,candidate_validation,passed,"{""rows"": 12}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,duplicate_exclusion,passed,"{""rows"": 8}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,shard_plan,passed,"{""rows"": 1}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,output_audit,passed,"{""rows"": 1}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,execution_boundary,passed,"{""rows"": 24}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,git_safety,passed,"{""rows"": 10}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,mask_scope,passed,"{""rows"": 5}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,feature_semantics,passed,"{""rows"": 12}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,leakage_split,passed,"{""rows"": 12}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
covapie_candidate_allowlist_materialization_smoke_v0,covapie_candidate_allowlist_creation_gate_v0,readiness_boundary,passed,"{""recommended_next_step"": ""provide_explicit_candidate_metadata_for_allowlist""}",missing_explicit_candidate_metadata,provide_explicit_candidate_metadata_for_allowlist
