boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
candidate_metadata_materialization_design_gate,executed_design_gate_only,True,
step13aw_manifest_read,executed_manifest_read_only,True,
step13aw_preferred_acceptance_read,executed_csv_read_only,True,
step13aw_unresolved_handling_read,executed_csv_read_only,True,
step13aw_candidate_integrity_read,executed_csv_read_only,True,
metadata_csv_read,executed_metadata_read_only,True,
raw_file_presence_check,not_executed_or_not_allowed,True,
external_network_access,not_executed_or_not_allowed,True,
raw_structure_download,not_executed_or_not_allowed,True,
raw_ligand_download,not_executed_or_not_allowed,True,
raw_file_created,not_executed_or_not_allowed,True,
raw_data_text_read,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_text_read,not_executed_or_not_allowed,True,
mmcif_text_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
allowlist_materialization,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
