candidate_metadata_field,field_description,required_for_candidate_metadata,required_for_future_allowlist,materialization_status,training_use_status,schema_contract_passed
candidate_metadata_id,deterministic future row identifier,True,True,design_only_not_materialized,not_training_input_yet,True
project_name,constant project name,True,False,design_only_not_materialized,not_training_input_yet,True
source_name,source short name,True,False,design_only_not_materialized,not_training_input_yet,True
source_database,external database name,True,False,design_only_not_materialized,not_training_input_yet,True
source_stage,source QA/design stage lineage,True,False,design_only_not_materialized,not_training_input_yet,True
pdb_id,future candidate metadata field pdb_id,True,True,design_only_not_materialized,not_training_input_yet,True
het_code,future candidate metadata field het_code,True,True,design_only_not_materialized,not_training_input_yet,True
selected_raw_format,future candidate metadata field selected_raw_format,True,False,design_only_not_materialized,not_training_input_yet,True
raw_connection_source,future candidate metadata field raw_connection_source,True,False,design_only_not_materialized,not_training_input_yet,True
chain_id,future candidate metadata field chain_id,True,True,design_only_not_materialized,not_training_input_yet,True
residue_name,future candidate metadata field residue_name,True,True,design_only_not_materialized,not_training_input_yet,True
residue_index,future candidate metadata field residue_index,True,True,design_only_not_materialized,not_training_input_yet,True
residue_atom_name,future candidate metadata field residue_atom_name,True,True,design_only_not_materialized,not_training_input_yet,True
ligand_atom_name,future candidate metadata field ligand_atom_name,True,True,design_only_not_materialized,not_training_input_yet,True
covalent_bond_atom_pair,future candidate metadata field covalent_bond_atom_pair,True,True,design_only_not_materialized,not_training_input_yet,True
protein_partner_atom_exists,future candidate metadata field protein_partner_atom_exists,True,False,design_only_not_materialized,not_training_input_yet,True
ligand_partner_atom_exists,future candidate metadata field ligand_partner_atom_exists,True,False,design_only_not_materialized,not_training_input_yet,True
candidate_confidence,future candidate metadata field candidate_confidence,True,False,design_only_not_materialized,not_training_input_yet,True
event_key_resolution_status,future candidate metadata field event_key_resolution_status,True,False,design_only_not_materialized,not_training_input_yet,True
accepted_for_future_candidate_metadata,future candidate metadata field accepted_for_future_candidate_metadata,True,False,design_only_not_materialized,not_training_input_yet,True
accepted_for_future_automatic_allowlist,future candidate metadata field accepted_for_future_automatic_allowlist,True,True,design_only_not_materialized,not_training_input_yet,True
current_step_materialization_allowed,future candidate metadata field current_step_materialization_allowed,True,False,design_only_not_materialized,not_training_input_yet,True
unresolved_exclusion_status,future candidate metadata field unresolved_exclusion_status,True,False,design_only_not_materialized,not_training_input_yet,True
unresolved_exclusion_reason,future candidate metadata field unresolved_exclusion_reason,True,False,design_only_not_materialized,not_training_input_yet,True
manual_review_required,future candidate metadata field manual_review_required,True,False,design_only_not_materialized,not_training_input_yet,True
source_step13aw_preferred_acceptance_row_index,future candidate metadata field source_step13aw_preferred_acceptance_row_index,True,False,design_only_not_materialized,not_training_input_yet,True
source_step13aw_candidate_integrity_row_index,future candidate metadata field source_step13aw_candidate_integrity_row_index,True,False,design_only_not_materialized,not_training_input_yet,True
source_metadata_csv_row_key,stable key back to Step 13AO metadata row,True,False,design_only_not_materialized,not_training_input_yet,True
raw_file_path_policy,future candidate metadata field raw_file_path_policy,True,False,design_only_not_materialized,not_training_input_yet,True
raw_file_tracked_policy,future candidate metadata field raw_file_tracked_policy,True,False,design_only_not_materialized,not_training_input_yet,True
feature_semantics_audit_required_before_training,future candidate metadata field feature_semantics_audit_required_before_training,True,False,design_only_not_materialized,not_training_input_yet,True
leakage_split_design_required_before_training,future candidate metadata field leakage_split_design_required_before_training,True,False,design_only_not_materialized,not_training_input_yet,True
ready_for_training,future candidate metadata field ready_for_training,True,False,design_only_not_materialized,not_training_input_yet,True
