boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
candidate_metadata_materialization_smoke,executed_first4_candidate_metadata_only,True,
step13ax_manifest_read,executed_manifest_read_only,True,
step13ax_schema_contract_read,executed_csv_read_only,True,
step13ax_accepted_event_inventory_read,executed_csv_read_only,True,
step13ax_unresolved_exclusion_policy_read,executed_csv_read_only,True,
step13aw_preferred_acceptance_read,executed_csv_read_only,True,
step13aw_candidate_integrity_read,executed_csv_read_only,True,
metadata_csv_read,executed_metadata_read_only,True,
candidate_metadata_csv_write,executed_first4_rows_only,True,
candidate_metadata_json_write,executed_first4_rows_only,True,
candidate_allowlist_write,not_executed_or_not_allowed,True,
raw_file_presence_check,not_executed_or_not_allowed,True,
external_network_access,not_executed_or_not_allowed,True,
raw_structure_download,not_executed_or_not_allowed,True,
raw_ligand_download,not_executed_or_not_allowed,True,
raw_file_created,not_executed_or_not_allowed,True,
raw_data_text_read,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_text_read,not_executed_or_not_allowed,True,
mmcif_text_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
sample_index_write,not_executed_or_not_allowed,True,
final_dataset_write,not_executed_or_not_allowed,True,
split_assignments_write,not_executed_or_not_allowed,True,
leakage_matrix_write,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
