precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step13ax_manifest_exists,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_materialization_design_gate_manifest.json,exists,True,True,
step13ax_stage,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_materialization_design_gate_manifest.json,covapie_candidate_metadata_materialization_design_gate_v0,covapie_candidate_metadata_materialization_design_gate_v0,True,
step13ax_all_checks_passed,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_materialization_design_gate_manifest.json,true,True,True,
step13ax_ready_for_smoke,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_materialization_design_gate_manifest.json,true,True,True,
step13ax_schema_count,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_materialization_design_gate_manifest.json,33,33,True,
step13ax_accepted_count,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_materialization_design_gate_manifest.json,4,4,True,
step13ax_unresolved_count,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_materialization_design_gate_manifest.json,1,1,True,
step13ax_no_materialization_yet,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_materialization_design_gate_manifest.json,metadata/allowlist false,False/False,True,
accepted_inventory_exists,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_accepted_event_inventory.csv,exists,True,True,
schema_contract_exists,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_schema_contract.csv,exists,True,True,
field_source_mapping_exists,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_field_source_mapping_contract.csv,exists,True,True,
row_identity_contract_exists,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_row_identity_contract.csv,exists,True,True,
validation_contract_exists,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_validation_contract.csv,exists,True,True,
materialization_smoke_plan_exists,data/derived/covalent_small/covapie_candidate_metadata_materialization_design_gate_v0/covapie_candidate_metadata_materialization_smoke_plan.csv,exists,True,True,
step13aw_preferred_acceptance_exists,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,exists,True,True,
step13aw_candidate_integrity_exists,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_event_candidate_field_integrity_qa.csv,exists,True,True,
step13aw_unresolved_exists,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_unresolved_event_handling_qa.csv,exists,True,True,
metadata_csv_exists,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,exists,True,True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_files_untracked,git ls-files raw root,false,False,True,
raw_files_unstaged,git diff --cached raw root,false,False,True,
protected_source_diff_empty,git diff equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,git diff dataset.py data/prepare_crossdocked.py,empty,False,True,
