lineage_order,lineage_role,source_path,source_symbol_or_selector,selector_kind,selector_expression,expected_record_count,observed_record_count,input_field_or_evidence,output_field,representation_before,representation_after,semantic_transformation,predecessor_projection,observed_projection,predecessor_successor_projection_verified,explicit_bond_authority_required,explicit_bond_authority_observed,distance_only_inference_used,current_source_of_truth,committed_in_base,source_sha256,selector_verified,verified
1,explicit_bond_producer_original,data/derived/covalent_small/covapie_cys_sg_ready_candidate_materialization_gate_v0/covapie_cys_sg_ready_candidate_inventory.csv,ready_candidate_scope=cys_sg_struct_conn_validated_ligand_event_v0,csv_filter,ready_candidate_scope=cys_sg_struct_conn_validated_ligand_event_v0,3,3,validated struct_conn candidate fields,AtomPairProducerProjection,explicit bond partner fields,3 original producer projections,executable selector and projection validation,none,count=3;6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,true,true,true,false,false,true,31785bd4ff643ce4e0b9340dcf3c2e6f6a842d553e35a0a0ea61e73313e2bf28,true,true
2,explicit_bond_producer_expansion,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_candidate_crosscheck_audit.csv|data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_relevant_row_inventory.csv,confirmed_unique_exact_match and exact relevant struct_conn row,csv_filter_join,confirmed_unique_exact_match and exact relevant struct_conn row,8,8,crosscheck and relevant struct_conn fields,AtomPairProducerProjection,explicit crosscheck fields,8 expansion producer projections,executable selector and projection validation,none,count=8;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6,true,true,true,false,false,true,2d9cb6bd8800fcba939f1e2fab13c915546d9103a2c2682521e41f610db064e5,true,true
3,event_materializer_original,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/covalent_event_table.csv|data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/covalent_event_table.csv|data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/covalent_event_table.csv,final rows in original producer keys -> covalent_event_table_path,dynamic_path_dereference,final rows in original producer keys -> covalent_event_table_path,3,3,original producer projections,event table projections,producer atom identities,validated event metadata,executable selector and projection validation,count=3;6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,count=3;6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,true,true,true,false,false,true,90e99df401e3951a38a67434cf10110d703529902215c81a81809240a5fb357b,true,true
4,event_materializer_expansion,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/covalent_event_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/covalent_event_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/covalent_event_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/covalent_event_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/covalent_event_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/covalent_event_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/covalent_event_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1B02_UFP/covalent_event_table.csv,final rows in expansion producer keys -> covalent_event_table_path,dynamic_path_dereference,final rows in expansion producer keys -> covalent_event_table_path,8,8,expansion producer projections,event table projections,producer atom identities,validated event metadata,executable selector and projection validation,count=8;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6,count=8;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6,true,true,true,false,false,true,7d3fccce895199c685b2d69423e27be5bf018098184e4b963066cdc94af5a094,true,true
5,pair_table_materializer_original,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/ligand_residue_atom_pair_table.csv|data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_residue_atom_pair_table.csv|data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/ligand_residue_atom_pair_table.csv,final rows in original producer keys -> ligand_residue_atom_pair_table_path,dynamic_path_dereference,final rows in original producer keys -> ligand_residue_atom_pair_table_path,3,3,original producer projections,pair table projections,explicit pair identities,atom-name pair plus coordinates,executable selector and projection validation,count=3;6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,count=3;6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,true,true,true,false,false,true,621c2f461accfef3edcef7196552a7d7268eb94f41ecfe9fcd5a5342ec807a70,true,true
6,pair_table_materializer_expansion,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/ligand_residue_atom_pair_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/ligand_residue_atom_pair_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/ligand_residue_atom_pair_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/ligand_residue_atom_pair_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/ligand_residue_atom_pair_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/ligand_residue_atom_pair_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/ligand_residue_atom_pair_table.csv|data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1B02_UFP/ligand_residue_atom_pair_table.csv,final rows in expansion producer keys -> ligand_residue_atom_pair_table_path,dynamic_path_dereference,final rows in expansion producer keys -> ligand_residue_atom_pair_table_path,8,8,expansion producer projections,pair table projections,explicit pair identities,atom-name pair plus coordinates,executable selector and projection validation,count=8;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6,count=8;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6,true,true,true,false,false,true,9cfb578dd94e60dfed1e06634a83d4c57ce034971f6d555a063d0e81e4d6281c,true,true
7,sample_index_materializer_original,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.csv,all original sample-index rows,csv_all_rows,all original sample-index rows,3,3,original event and pair projections,original sample-index projections,event/pair metadata,sample metadata string plus paths/counts,executable selector and projection validation,count=3;6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,count=3;6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,true,true,true,false,false,true,de5b2313140338f711ebdea1aaef03fcaf64916cd6bd70a3721f615414fef59f,true,true
8,sample_index_materializer_expansion,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_index_materialization_smoke_v0/expansion_batch_sample_index.csv,all expansion sample-index rows,csv_all_rows,all expansion sample-index rows,8,8,expansion event and pair projections,expansion sample-index projections,event/pair metadata,sample metadata string plus paths/counts,executable selector and projection validation,count=8;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6,count=8;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6,true,true,true,false,false,true,d9514855fc24ba669005ed15a2cda151e875d137b49cdc5e8a725b7ee42e065c,true,true
9,successor_merge,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/unified_sample_index.csv,original IDs union expansion IDs; intersection empty,set_union,original IDs union expansion IDs; intersection empty,11,11,two disjoint sample indexes,unified sample-index projections,3+8 sample rows,11 unified rows,executable selector and projection validation,count=11;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6|6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,count=11;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6|6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,true,true,true,false,false,true,44ea36a3f06c2683ee21f82361d0cf334fec791bcf704722c1d3192e82840c10,true,true
10,split_materializer,data/derived/covalent_small/covapie_unified_leakage_split_materialization_smoke_v0/train_sample_index.csv|data/derived/covalent_small/covapie_unified_leakage_split_materialization_smoke_v0/validation_sample_index.csv|data/derived/covalent_small/covapie_unified_leakage_split_materialization_smoke_v0/test_sample_index.csv,train validation test disjoint union equals unified,partition_union,train validation test disjoint union equals unified,11,11,unified projections,split-union projections,11 unified rows,three disjoint split artifacts,executable selector and projection validation,count=11;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6|6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,count=11;1AEC/E64=SG--C2|1AIM/ZYA=SG--CM|1AU3/PCM=SG--C22|1AU4/INP=SG--C17|1AYU/INA=SG--C21|1AYV/IN6=SG--C21|1AYW/IN3=SG--C21|1B02/UFP=SG--C6|6BV5/JUG=SG--CAG|6BV6/JUG=SG--CAG|6BV8/JUG=SG--CAG,true,true,true,false,false,true,4ee5a5327706142181461ef24cac89fc4c73ced2692d897536b11fe28925fd2a,true,true
