field_order,field_name,data_type,required,empty_string_allowed,applies_to_residue,applies_to_ligand,identity_role,validation_rule,current_materialization_status,verified
1,locator_schema_version,str,true,false,true,true,schema_discriminator,exact_string_equal_covapie_covalent_atom_locator_v1,contract_only_not_materialized,true
2,entity_role,str,true,false,true,true,role_discriminator,exact_string_member_of_target_residue_atom|ligand_atom,derivable_role_not_materialized_as_structured_locator,true
3,event_id,str,true,false,true,true,event_provenance_identity,exact_nonempty_string,source_value_observed_not_materialized_in_locator_v1,true
4,pdb_id,str,true,false,true,true,structure_identity,exact_nonempty_string,source_value_observed_not_materialized_in_locator_v1,true
5,model_id,str,false,true,true,true,model_disambiguator,exact_string_empty_allowed_no_none_or_coercion,explicitly_missing_in_current_source,true
6,auth_asym_id,str,false,true,true,true,author_chain_locator,exact_string_empty_allowed_no_none_or_coercion,corresponding_chain_value_observed_namespace_not_fully_audited,true
7,auth_seq_id,str,false,true,true,true,author_sequence_locator,exact_string_empty_allowed_no_none_or_coercion,corresponding_sequence_value_observed_namespace_not_fully_audited,true
8,insertion_code,str,false,true,true,true,author_sequence_disambiguator,exact_string_empty_allowed_no_none_or_coercion,explicit_empty_values_observed_not_locator_materialized,true
9,label_asym_id,str,false,true,true,true,label_chain_locator,exact_string_empty_allowed_no_none_or_coercion,not_materialized,true
10,label_seq_id,str,false,true,true,true,label_sequence_locator,exact_string_empty_allowed_no_none_or_coercion,not_materialized,true
11,comp_id,str,true,false,true,true,component_identity,exact_nonempty_string,source_value_observed_not_materialized_in_locator_v1,true
12,atom_name,str,true,false,true,true,atom_identity_within_component,exact_nonempty_string,source_value_observed_not_materialized_in_locator_v1,true
13,altloc,str,false,true,true,true,alternate_location_disambiguator,exact_string_empty_allowed_no_none_or_coercion,not_materialized,true
