precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step13as_manifest,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,exists,True,True,
step13as_stage,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,True,
attempted_card_count,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,5,5,True,
fetch_succeeded_count,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,5,5,True,
fetch_failed_count,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,0,0,True,
metadata_html_fetched,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,true,True,True,
full_html_written,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,false,False,True,
raw_html_artifact_written,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,false,False,True,
minimal_event_key_resolved_card_count,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,0,0,True,
preferred_event_key_resolved_card_count,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,0,0,True,
unresolved_card_count,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,5,5,True,
future_candidate_metadata_possible_count,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,0,0,True,
future_automatic_allowlist_possible_count,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,0,0,True,
ready_for_qa_gate,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_metadata_acquisition_smoke_manifest.json,true,True,True,
step13as_fetch_audit,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_fetch_audit.csv,5 rows,5,True,
step13as_html_safety_audit,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_html_metadata_safety_audit.csv,5 rows,5,True,
step13as_label_inventory,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_parse_label_inventory.csv,50 rows,50,True,
step13as_event_field_probe,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_event_field_probe.csv,25 rows,25,True,
step13as_event_key_resolution,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_event_key_resolution_audit.csv,5 rows,5,True,
step13as_evidence_snippet_audit,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_evidence_snippet_audit.csv,exists,True,True,
step13as_failure_taxonomy,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_smoke_v0/covapie_covpdb_complex_card_observed_failure_taxonomy.csv,exists,True,True,
covapie_naming_convention,docs/covapie_project_naming_convention.md,exists and names CovaPIE,True,True,
protected_source_diff,git diff equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff,git diff dataset.py data/prepare_crossdocked.py,empty,False,True,
raw_files_staged,git diff --cached data/raw/covalent_sources,false,False,True,
raw_files_tracked,git ls-files data/raw/covalent_sources,false,False,True,
