stage,previous_stage,section,status,evidence,blocking_reasons,recommended_next_step
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,step13as_precondition,passed,"{""rows"": 26}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,fetch_integrity_qa,passed,"{""rows"": 5}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,html_safety_qa,passed,"{""rows"": 5}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,label_inventory_summary_qa,passed,"{""rows"": 10}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,event_field_status_summary_qa,passed,"{""rows"": 5}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,event_key_resolution_summary_qa,passed,"{""rows"": 1}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,unresolved_reason_qa,passed,"{""rows"": 5}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,evidence_snippet_safety_qa,passed,"{""rows"": 1}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,materialization_decision_qa,passed,"{""rows"": 4}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,next_step_decision_qa,passed,"{""rows"": 1}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,execution_boundary,passed,"{""rows"": 27}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_smoke_v0,readiness_boundary,passed,"{""recommended_next_step"": ""covapie_covpdb_complex_card_html_structure_probe_design_gate""}",,covapie_covpdb_complex_card_html_structure_probe_design_gate
