precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step13aq_manifest,data/derived/covalent_small/covapie_external_metadata_index_schema_probe_design_gate_v0/covapie_external_metadata_index_schema_probe_design_gate_manifest.json,present_or_clean,present_or_clean,True,
step13aq_missing_field_plan,data/derived/covalent_small/covapie_external_metadata_index_schema_probe_design_gate_v0/covapie_missing_field_resolution_plan.csv,present_or_clean,present_or_clean,True,
step13aq_mapping_probe,data/derived/covalent_small/covapie_external_metadata_index_schema_probe_design_gate_v0/covapie_allowlist_schema_mapping_probe.csv,present_or_clean,present_or_clean,True,
metadata_csv_25x19_with_card_urls,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,present_or_clean,present_or_clean,True,
allowlist_template,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,present_or_clean,present_or_clean,True,
covapie_naming_convention,docs/covapie_project_naming_convention.md,present_or_clean,present_or_clean,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,present_or_clean,present_or_clean,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,present_or_clean,present_or_clean,True,
raw_files_not_staged_or_tracked,data/raw/covalent_sources,present_or_clean,present_or_clean,True,
output_root_declared,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_probe_design_gate_v0,present_or_clean,present_or_clean,True,
