target_field,field_class,required_for_minimal_event_key,required_for_preferred_event_key,expected_source,raw_structure_required_current_step,materialization_blocking_if_missing,target_field_contract_passed,blocking_reasons
chain_id,critical_event_key,True,True,complex_card_html_text_or_table,False,True,True,
residue_name,critical_event_key,True,True,complex_card_html_text_or_table,False,True,True,
residue_index,critical_event_key,True,True,complex_card_html_text_or_table,False,True,True,
residue_atom_name,critical_event_key,True,True,complex_card_html_text_or_table,False,True,True,
covalent_bond_atom_pair,critical_event_key,False,True,complex_card_html_text_or_table,False,True,True,
covpdb_complex_card_url,supporting_metadata,False,False,complex_card_html_text_or_table,False,False,True,
source_record_url,supporting_metadata,False,False,complex_card_html_text_or_table,False,False,True,
pdb_id,supporting_metadata,True,True,complex_card_html_text_or_table,False,True,True,
het_code,supporting_metadata,True,True,complex_card_html_text_or_table,False,True,True,
covpdb_ligand_id,supporting_metadata,False,False,complex_card_html_text_or_table,False,False,True,
ligand_name,supporting_metadata,False,False,complex_card_html_text_or_table,False,False,True,
protein_name,supporting_metadata,False,False,complex_card_html_text_or_table,False,False,True,
uniprot_id,supporting_metadata,False,False,complex_card_html_text_or_table,False,False,True,
mechanism_or_reaction_type_if_available,optional_annotation,False,False,complex_card_html_text_or_table,False,False,True,
warhead_or_residue_class_if_available,optional_annotation,False,False,complex_card_html_text_or_table,False,False,True,
evidence_text_or_table_label,optional_annotation,False,False,complex_card_html_text_or_table,False,False,True,
parse_confidence,optional_annotation,False,False,complex_card_html_text_or_table,False,False,True,
parse_failure_reason,optional_annotation,False,False,complex_card_html_text_or_table,False,False,True,
