metadata_column,column_order,column_present,csv_schema_audit_passed,blocking_reasons
source_dataset_name,1,True,True,
source_dataset_version,2,True,True,
source_page_url,3,True,True,
source_record_url,4,True,True,
covpdb_record_index,5,True,True,
pdb_id,6,True,True,
protein_name,7,True,True,
organism,8,True,True,
uniprot_id,9,True,True,
uniprot_label,10,True,True,
ligand_name,11,True,True,
het_code,12,True,True,
covpdb_ligand_id,13,True,True,
covpdb_complex_card_url,14,True,True,
acquisition_method,15,True,True,
acquisition_timestamp_utc,16,True,True,
raw_structure_downloaded,17,True,True,
raw_ligand_downloaded,18,True,True,
metadata_only_record,19,True,True,
