boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
metadata_html_fetch,executed_covpdb_html_only,True,
metadata_html_parse,executed_metadata_only,True,
metadata_csv_write,executed_if_rows_parsed_else_not_executed,True,
raw_structure_download,not_executed_or_not_allowed,True,
ligand_sdf_download,not_executed_or_not_allowed,True,
zip_download,not_executed_or_not_allowed,True,
raw_read,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
allowlist_materialization,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
