source_format,source_category,source_field,maps_to_covapie_field,required_for_minimal_event_key,required_for_preferred_event_key,validation_role,mapping_contract_passed,blocking_reasons
mmcif,struct_conn,conn_type_id,connection_type,False,False,filter_explicit_covalent_connections,True,
mmcif,struct_conn,ptnr1_label_atom_id,partner1_atom_name,True,True,candidate_partner_atom,True,
mmcif,struct_conn,ptnr1_label_comp_id,partner1_residue_or_ligand_name,True,True,candidate_partner_residue,True,
mmcif,struct_conn,ptnr1_label_asym_id,partner1_label_chain_id,False,False,label_chain_crosscheck,True,
mmcif,struct_conn,ptnr1_auth_asym_id,partner1_chain_id,True,True,auth_chain_source,True,
mmcif,struct_conn,ptnr1_auth_seq_id,partner1_residue_index,True,True,auth_residue_index_source,True,
mmcif,struct_conn,ptnr2_label_atom_id,partner2_atom_name,True,True,candidate_partner_atom,True,
mmcif,struct_conn,ptnr2_label_comp_id,partner2_residue_or_ligand_name,True,True,candidate_partner_residue,True,
mmcif,struct_conn,ptnr2_label_asym_id,partner2_label_chain_id,False,False,label_chain_crosscheck,True,
mmcif,struct_conn,ptnr2_auth_asym_id,partner2_chain_id,True,True,auth_chain_source,True,
mmcif,struct_conn,ptnr2_auth_seq_id,partner2_residue_index,True,True,auth_residue_index_source,True,
mmcif,struct_conn,pdbx_dist_value,covalent_bond_distance,False,False,optional_distance_evidence,True,
mmcif,atom_site,label_atom_id,atom_site_atom_name,False,False,validate_partner_atoms_exist,True,
mmcif,atom_site,label_comp_id,atom_site_residue_or_ligand_name,False,False,validate_partner_compounds_exist,True,
mmcif,atom_site,auth_asym_id,atom_site_chain_id,False,False,validate_chain_exists,True,
mmcif,atom_site,auth_seq_id,atom_site_residue_index,False,False,validate_residue_exists,True,
mmcif,atom_site,Cartn_x,atom_site_x_coordinate,False,False,metadata_count_only_no_coordinate_export,True,
mmcif,atom_site,Cartn_y,atom_site_y_coordinate,False,False,metadata_count_only_no_coordinate_export,True,
mmcif,atom_site,Cartn_z,atom_site_z_coordinate,False,False,metadata_count_only_no_coordinate_export,True,
